"","source","agreement","stimuli","n","percent","lemma_naming","lemma_dis","dist"
"1","brodeur",72,"deep_sea_divers",14,45.1612903225806,"fishingrod","fishing",0.1
"2","brodeur",72,"wanderer",26,83.8709677419355,"fishingrod","fishing",0.1
"3","boss",94,"journey",11,35.4838709677419,"broom","bedroom",0.0952380952380952
"4","boss",94,"return",18,58.0645161290323,"broom","bedroom",0.0952380952380952
"5","boss",95,"arrival_3",17,54.8387096774194,"lighter","light",0.0952380952380952
"6","boss",95,"arrival_6",14,45.1612903225806,"lighter","light",0.0952380952380952
"7","boss",95,"dinosaurs_spacemen_and_ghouls",24,77.4193548387097,"lighter","light",0.0952380952380952
"8","boss",95,"flowerman",24,77.4193548387097,"lighter","light",0.0952380952380952
"9","boss",95,"journey",27,87.0967741935484,"lighter","light",0.0952380952380952
"10","boss",95,"quest",26,83.8709677419355,"lighter","light",0.0952380952380952
"11","boss",95,"return",25,80.6451612903226,"lighter","light",0.0952380952380952
"12","boss",95,"wanderer",26,83.8709677419355,"lighter","light",0.0952380952380952
"13","boss",87,"quest",17,54.8387096774194,"speaker","spear",0.0952380952380952
"14","brodeur",77,"flowerman",15,48.3870967741936,"bacon","balcony",0.0952380952380952
"15","DR2",95.4545455,"journey",10,32.258064516129,"dress","dresser",0.0952380952380952
"16","DR2",100,"arrival_4",11,35.4838709677419,"glasses","glass",0.0952380952380952
"17","DR2",100,"arrival_5",14,45.1612903225806,"glasses","glass",0.0952380952380952
"18","DR2",100,"flowerman",12,38.7096774193548,"glasses","glass",0.0952380952380952
"19","DR2",100,"escape_from_the_zoo",23,74.1935483870968,"grill","gorilla",0.0952380952380952
"20","DR2",95.6521739,"quest",19,61.2903225806452,"slipper","flipper",0.0952380952380952
"21","moreno-martinez",88,"flowerman",24,77.4193548387097,"fountainpen","fountain",0.0909090909090908
"22","moreno-martinez",88,"waldo_1",28,90.3225806451613,"fountainpen","fountain",0.0909090909090908
"23","boss",85,"arrival_1",10,32.258064516129,"bowl","bow",0.0833333333333334
"24","boss",85,"arrival_5",16,51.6129032258064,"bowl","owl",0.0833333333333334
"25","boss",85,"flowerman",10,32.258064516129,"bowl","bow",0.0833333333333334
"26","boss",85,"waldo_1",11,35.4838709677419,"bowl","bow",0.0833333333333334
"27","boss",71,"wanderer",11,35.4838709677419,"cane","can",0.0833333333333334
"28","boss",97,"dinosaurs_spacemen_and_ghouls",11,35.4838709677419,"dice","ice",0.0833333333333334
"29","boss",97,"escape_from_the_zoo",30,96.7741935483871,"dice","ice",0.0833333333333334
"30","boss",97,"flowerman",10,32.258064516129,"dice","ice",0.0833333333333334
"31","boss",97,"wanderer",15,48.3870967741936,"dice","ice",0.0833333333333334
"32","boss",100,"arrival_1",10,32.258064516129,"pear","ear",0.0833333333333334
"33","boss",100,"arrival_4",12,38.7096774193548,"pear","ear",0.0833333333333334
"34","boss",92,"dinosaurs_spacemen_and_ghouls",11,35.4838709677419,"rice","ice",0.0833333333333334
"35","boss",92,"escape_from_the_zoo",30,96.7741935483871,"rice","ice",0.0833333333333334
"36","boss",92,"flowerman",10,32.258064516129,"rice","ice",0.0833333333333334
"37","boss",92,"wanderer",15,48.3870967741936,"rice","ice",0.0833333333333334
"38","boss",91,"flowerman",12,38.7096774193548,"tile","tie",0.0833333333333334
"39","brodeur",71,"flowerman",23,74.1935483870968,"barn","bar",0.0833333333333334
"40","brodeur",81,"quest",28,90.3225806451613,"keys","key",0.0833333333333334
"41","brodeur",88,"airport",13,41.9354838709677,"cat","cart",0.0833333333333334
"42","brodeur",88,"arrival_1",11,35.4838709677419,"cat","coat",0.0833333333333334
"43","brodeur",88,"arrival_3",18,58.0645161290323,"cat","cart",0.0833333333333334
"44","brodeur",88,"arrival_5",13,41.9354838709677,"cat","cart",0.0833333333333334
"45","brodeur",88,"flowerman",16,51.6129032258064,"cat","cart",0.0833333333333334
"46","brodeur",88,"flowerman",12,38.7096774193548,"cat","coat",0.0833333333333334
"47","brodeur",100,"arrival_1",19,61.2903225806452,"owl","bowl",0.0833333333333334
"48","brodeur",100,"arrival_4",13,41.9354838709677,"owl","bowl",0.0833333333333334
"49","brodeur",100,"arrival_5",21,67.741935483871,"owl","bowl",0.0833333333333334
"50","brodeur",100,"arrival_6",20,64.5161290322581,"owl","bowl",0.0833333333333334
"51","brodeur",83,"dinosaurs_spacemen_and_ghouls",12,38.7096774193548,"pipe","pie",0.0833333333333334
"52","brodeur",88,"being_a_pirate",13,41.9354838709677,"seal","sea",0.0833333333333334
"53","brodeur",88,"deep_sea_divers",22,70.9677419354839,"seal","sea",0.0833333333333334
"54","brodeur",88,"quest",15,48.3870967741936,"seal","sea",0.0833333333333334
"55","brodeur",88,"return",12,38.7096774193548,"seal","sea",0.0833333333333334
"56","brodeur",88,"wanderer",26,83.8709677419355,"seal","sea",0.0833333333333334
"57","moreno-martinez",96,"arrival_2",28,90.3225806451613,"bat","boat",0.0833333333333334
"58","moreno-martinez",96,"arrival_4",27,87.0967741935484,"bat","boat",0.0833333333333334
"59","moreno-martinez",96,"arrival_5",25,80.6451612903226,"bat","boat",0.0833333333333334
"60","moreno-martinez",96,"arrival_6",12,38.7096774193548,"bat","boat",0.0833333333333334
"61","moreno-martinez",96,"being_a_pirate",28,90.3225806451613,"bat","boat",0.0833333333333334
"62","moreno-martinez",96,"by_the_lake",26,83.8709677419355,"bat","boat",0.0833333333333334
"63","moreno-martinez",96,"campsite",23,74.1935483870968,"bat","boat",0.0833333333333334
