"","id","stimuli","n","percent","lemma_dis","lemma_naming","source","agreement","dist","target"
"1",724,"deep_sea_divers",14,45.1612903225806,"fishingrod","fishing","brodeur",72,0.1,"fishingrod.jpg"
"2",1605,"wanderer",26,83.8709677419355,"fishingrod","fishing","brodeur",72,0.1,"fishingrod.jpg"
"3",223,"arrival_3",17,54.8387096774194,"lighter","light","boss",95,0.0952380952380952,"lighter01.jpg"
"4",293,"arrival_4",11,35.4838709677419,"glasses","glass","DR2",100,0.0952380952380952,"glasses_02_og.jpg"
"5",392,"arrival_5",14,45.1612903225806,"glasses","glass","DR2",100,0.0952380952380952,"glasses_02_og.jpg"
"6",498,"arrival_6",14,45.1612903225806,"lighter","light","boss",95,0.0952380952380952,"lighter01.jpg"
"7",768,"dinosaurs_spacemen_and_ghouls",24,77.4193548387097,"lighter","light","boss",95,0.0952380952380952,"lighter01.jpg"
"8",817,"escape_from_the_zoo",23,74.1935483870968,"grill","gorilla","DR2",100,0.0952380952380952,"grill_02_og.jpg"
"9",887,"flowerman",15,48.3870967741936,"bacon","balcony","brodeur",77,0.0952380952380952,"bacon.jpg"
"10",929,"flowerman",12,38.7096774193548,"glasses","glass","DR2",100,0.0952380952380952,"glasses_02_og.jpg"
"11",947,"flowerman",24,77.4193548387097,"lighter","light","boss",95,0.0952380952380952,"lighter01.jpg"
"12",1027,"journey",11,35.4838709677419,"broom","bedroom","boss",94,0.0952380952380952,"broom01.jpg"
"13",1062,"journey",10,32.258064516129,"dress","dresser","DR2",95.4545455,0.0952380952380952,"dress02_og.jpg"
"14",1087,"journey",27,87.0967741935484,"lighter","light","boss",95,0.0952380952380952,"lighter01.jpg"
"15",1256,"quest",19,61.2903225806452,"slipper","flipper","DR2",95.6521739,0.0952380952380952,"slipper_02_og.jpg"
"16",1276,"quest",26,83.8709677419355,"lighter","light","boss",95,0.0952380952380952,"lighter01.jpg"
"17",1320,"quest",17,54.8387096774194,"speaker","spear","boss",87,0.0952380952380952,"speaker04.jpg"
"18",1357,"return",18,58.0645161290323,"broom","bedroom","boss",94,0.0952380952380952,"broom01.jpg"
"19",1412,"return",25,80.6451612903226,"lighter","light","boss",95,0.0952380952380952,"lighter01.jpg"
"20",1634,"wanderer",26,83.8709677419355,"lighter","light","boss",95,0.0952380952380952,"lighter01.jpg"
"21",924,"flowerman",24,77.4193548387097,"fountainpen","fountain","moreno-martinez",88,0.0909090909090908,"fountain_pen.jpg"
"22",1515,"waldo_1",28,90.3225806451613,"fountainpen","fountain","moreno-martinez",88,0.0909090909090908,"fountain_pen.jpg"
"23",14,"airport",11,35.4838709677419,"car","card","moreno-martinez",93,0.0833333333333334,"car.jpg"
"24",15,"airport",13,41.9354838709677,"cat","cart","brodeur",88,0.0833333333333334,"cat.jpg"
"25",15,"airport",13,41.9354838709677,"car","cart","moreno-martinez",93,0.0833333333333334,"car.jpg"
"26",25,"airport",12,38.7096774193548,"hoe","hose","DR2",92.3076923,0.0833333333333334,"hoe_01_og.jpg"
"27",89,"arrival_1",10,32.258064516129,"bowl","bow","boss",85,0.0833333333333334,"bowl01.jpg"
"28",90,"arrival_1",19,61.2903225806452,"owl","bowl","brodeur",100,0.0833333333333334,"greathornowl.jpg"
"29",90,"arrival_1",19,61.2903225806452,"bow","bowl","moreno-martinez",99,0.0833333333333334,"bow.jpg"
"30",95,"arrival_1",11,35.4838709677419,"cat","coat","brodeur",88,0.0833333333333334,"cat.jpg"
"31",103,"arrival_1",10,32.258064516129,"pear","ear","boss",100,0.0833333333333334,"pear01.jpg"
"32",103,"arrival_1",10,32.258064516129,"bear","ear","DR2",100,0.0833333333333334,"bear_02_og.jpg"
"33",160,"arrival_2",28,90.3225806451613,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"34",208,"arrival_3",18,58.0645161290323,"cat","cart","brodeur",88,0.0833333333333334,"cat.jpg"
"35",208,"arrival_3",18,58.0645161290323,"car","cart","moreno-martinez",93,0.0833333333333334,"car.jpg"
"36",209,"arrival_3",25,80.6451612903226,"cart","cat","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"37",209,"arrival_3",25,80.6451612903226,"coat","cat","moreno-martinez",96,0.0833333333333334,"coat.jpg"
"38",240,"arrival_3",17,54.8387096774194,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"39",257,"arrival_4",12,38.7096774193548,"bit","bite","moreno-martinez",73,0.0833333333333334,"bit.jpg"
"40",258,"arrival_4",27,87.0967741935484,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"41",260,"arrival_4",13,41.9354838709677,"owl","bowl","brodeur",100,0.0833333333333334,"greathornowl.jpg"
"42",260,"arrival_4",13,41.9354838709677,"bow","bowl","moreno-martinez",99,0.0833333333333334,"bow.jpg"
"43",267,"arrival_4",10,32.258064516129,"cart","car","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"44",268,"arrival_4",24,77.4193548387097,"cart","cat","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"45",268,"arrival_4",24,77.4193548387097,"coat","cat","moreno-martinez",96,0.0833333333333334,"coat.jpg"
"46",280,"arrival_4",12,38.7096774193548,"pear","ear","boss",100,0.0833333333333334,"pear01.jpg"
"47",280,"arrival_4",12,38.7096774193548,"bear","ear","DR2",100,0.0833333333333334,"bear_02_og.jpg"
"48",332,"arrival_4",18,58.0645161290323,"hoe","shoe","DR2",92.3076923,0.0833333333333334,"hoe_01_og.jpg"
"49",352,"arrival_4",16,51.6129032258064,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"50",373,"arrival_5",25,80.6451612903226,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"51",374,"arrival_5",21,67.741935483871,"owl","bowl","brodeur",100,0.0833333333333334,"greathornowl.jpg"
"52",374,"arrival_5",21,67.741935483871,"bow","bowl","moreno-martinez",99,0.0833333333333334,"bow.jpg"
"53",377,"arrival_5",13,41.9354838709677,"cat","cart","brodeur",88,0.0833333333333334,"cat.jpg"
"54",377,"arrival_5",13,41.9354838709677,"car","cart","moreno-martinez",93,0.0833333333333334,"car.jpg"
"55",378,"arrival_5",26,83.8709677419355,"cart","cat","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"56",378,"arrival_5",26,83.8709677419355,"coat","cat","moreno-martinez",96,0.0833333333333334,"coat.jpg"
