"file","participant","session","stimuli","lemma"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","approach"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","member"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","megaphone"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","instruction"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","gate"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","suitcase"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","family"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","child"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","belonging"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","gangplank"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","scene"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","escape"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","zoo"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","description"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","penguin"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","life"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","plan"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","enclosure"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","freedom"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","chaos"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","spike"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","skateboarding"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","ice"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","crebe"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","cone"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","name"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","go"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","city"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","building"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","background"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","number"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","people"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","lot"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","animal"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","place"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","bear"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","tree"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","cross"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","bird"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","emu"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","lemur"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","ringtail"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","zebra"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","spoonbill"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","flamingo"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","child"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","pram"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","man"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","fishing"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","net"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","airplane"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","parrot"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","monkey"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","gorilla"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","cliff"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","face"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","shop"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","a"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","roof"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","bull"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","cafe"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","toucan"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","window"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","ticket"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","stroller"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","giraffe"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","rhinocero"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","thoroughfare"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","hippopotamus"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","river"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","lion"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","lip"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","gopher"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","hole"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","fun"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","hand"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","pocket"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","polar"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","kangaroo"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","vendor"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","cream"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","excitement"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","bag"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","bun"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","hyena"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","peacock"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","display"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","saying"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","escape_from_the_zoo","centre"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","page"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","book"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","color"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","time"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","word"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","darcy"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","information"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","city"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","park"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","statue"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","gladiator"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","centurion"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","type"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","person"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","hand"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","tree"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","leave"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","autumn"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","lamp"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","post"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","sort"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","gaslamp"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bench"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","waste"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","paper"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","basket"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","group"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","show"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bridge"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","continuation"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","picture"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","rain"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","puddle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","age"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","mermaid"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","tail"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","fish"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bird"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","tit"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","child"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","tandem"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bicycle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","buddha"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","door"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","carving"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","light"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","gas"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","thing"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","t"
