"stimuli","lemma","n","percent"
"airport","ace",9,40.9090909090909
"airport","action",1,4.54545454545455
"airport","activity",2,9.09090909090909
"airport","ad",1,4.54545454545455
"airport","age",1,4.54545454545455
"airport","air",16,72.7272727272727
"airport","aircraft",2,9.09090909090909
"airport","airline",4,18.1818181818182
"airport","airliner",1,4.54545454545455
"airport","airplane",15,68.1818181818182
"airport","airport",18,81.8181818181818
"airport","airship",2,9.09090909090909
"airport","amount",1,4.54545454545455
"airport","angle",2,9.09090909090909
"airport","animal",3,13.6363636363636
"airport","area",6,27.2727272727273
"airport","arm",2,9.09090909090909
"airport","attendant",7,31.8181818181818
"airport","attention",1,4.54545454545455
"airport","back",6,27.2727272727273
"airport","background",6,27.2727272727273
"airport","bag",3,13.6363636363636
"airport","baggage",9,40.9090909090909
"airport","balloon",14,63.6363636363636
"airport","band",1,4.54545454545455
"airport","base",1,4.54545454545455
"airport","bat",1,4.54545454545455
"airport","beanies",1,4.54545454545455
"airport","bear",1,4.54545454545455
"airport","beard",4,18.1818181818182
"airport","bed",3,13.6363636363636
"airport","beige",1,4.54545454545455
"airport","belt",4,18.1818181818182
"airport","binocular",1,4.54545454545455
"airport","biplane",8,36.3636363636364
"airport","bird",1,4.54545454545455
"airport","bishop",1,4.54545454545455
"airport","bit",3,13.6363636363636
"airport","blimp",8,36.3636363636364
"airport","blintz",1,4.54545454545455
"airport","board",1,4.54545454545455
"airport","boarding",2,9.09090909090909
"airport","bobble",1,4.54545454545455
"airport","body",1,4.54545454545455
"airport","book",3,13.6363636363636
"airport","boss",1,4.54545454545455
"airport","bottom",8,36.3636363636364
"airport","box",4,18.1818181818182
"airport","boxe",2,9.09090909090909
"airport","boy",3,13.6363636363636
"airport","break",8,36.3636363636364
"airport","briefcase",1,4.54545454545455
"airport","brigade",1,4.54545454545455
"airport","british",1,4.54545454545455
"airport","brother",1,4.54545454545455
"airport","brothers",1,4.54545454545455
"airport","building",6,27.2727272727273
"airport","bunch",3,13.6363636363636
"airport","bus",12,54.5454545454545
"airport","buse",1,4.54545454545455
"airport","camel",1,4.54545454545455
"airport","car",3,13.6363636363636
"airport","card",4,18.1818181818182
"airport","cargo",3,13.6363636363636
"airport","carousel",4,18.1818181818182
"airport","carpet",2,9.09090909090909
"airport","carpeting",2,9.09090909090909
"airport","carriage",1,4.54545454545455
"airport","carrier",1,4.54545454545455
"airport","cart",9,40.9090909090909
"airport","cartoon",1,4.54545454545455
"airport","case",3,13.6363636363636
"airport","castle",1,4.54545454545455
"airport","cause",1,4.54545454545455
"airport","center",7,31.8181818181818
"airport","chaos",3,13.6363636363636
"airport","character",2,9.09090909090909
"airport","check",3,13.6363636363636
"airport","child",1,4.54545454545455
"airport","chuck",1,4.54545454545455
"airport","chute",1,4.54545454545455
"airport","cigarette",3,13.6363636363636
"airport","circle",1,4.54545454545455
"airport","city",1,4.54545454545455
"airport","claim",3,13.6363636363636
"airport","clothing",1,4.54545454545455
"airport","cloud",1,4.54545454545455
"airport","coat",7,31.8181818181818
"airport","cockpit",4,18.1818181818182
"airport","code",1,4.54545454545455
"airport","collection",2,9.09090909090909
"airport","color",3,13.6363636363636
"airport","concord",2,9.09090909090909
"airport","concorde",2,9.09090909090909
"airport","cone",1,4.54545454545455
"airport","control",6,27.2727272727273
"airport","controller",1,4.54545454545455
"airport","controllers",1,4.54545454545455
"airport","corner",6,27.2727272727273
"airport","counter",2,9.09090909090909
"airport","country",3,13.6363636363636
"airport","couple",8,36.3636363636364
"airport","cow",2,9.09090909090909
"airport","crate",1,4.54545454545455
"airport","crates",2,9.09090909090909
"airport","crew",1,4.54545454545455
"airport","crowd",2,9.09090909090909
"airport","custom",1,4.54545454545455
"airport","customer",1,4.54545454545455
"airport","cutaway",1,4.54545454545455
"airport","day",5,22.7272727272727
"airport","deck",2,9.09090909090909
"airport","decker",1,4.54545454545455
"airport","define",1,4.54545454545455
"airport","department",1,4.54545454545455
"airport","desk",5,22.7272727272727
"airport","direction",2,9.09090909090909
"airport","dirigible",2,9.09090909090909
"airport","disease",1,4.54545454545455
"airport","disembark",1,4.54545454545455
"airport","distance",1,4.54545454545455
"airport","distinguisher",1,4.54545454545455
"airport","doc",1,4.54545454545455
"airport","door",6,27.2727272727273
"airport","doorway",1,4.54545454545455
"airport","down",1,4.54545454545455
"airport","drive",1,4.54545454545455
"airport","eagle",2,9.09090909090909
"airport","eat",1,4.54545454545455
"airport","elephant",10,45.4545454545455
"airport","elephants",2,9.09090909090909
"airport","emergency",1,4.54545454545455
"airport","employee",3,13.6363636363636
"airport","end",1,4.54545454545455
"airport","engine",8,36.3636363636364
"airport","entourage",1,4.54545454545455
"airport","equipment",1,4.54545454545455
"airport","era",2,9.09090909090909
"airport","everything",1,4.54545454545455
"airport","exit",1,4.54545454545455
"airport","expression",1,4.54545454545455
"airport","face",2,9.09090909090909
"airport","fact",2,9.09090909090909
"airport","fall",1,4.54545454545455
"airport","family",1,4.54545454545455
"airport","farthest",1,4.54545454545455
"airport","fighter",2,9.09090909090909
"airport","figure",1,4.54545454545455
"airport","fire",15,68.1818181818182
"airport","fireman",1,4.54545454545455
"airport","flag",8,36.3636363636364
"airport","flagpole",6,27.2727272727273
"airport","flame",1,4.54545454545455
"airport","flaming",1,4.54545454545455
"airport","flight",7,31.8181818181818
"airport","float",1,4.54545454545455
"airport","foam",1,4.54545454545455
"airport","folk",4,18.1818181818182
"airport","food",3,13.6363636363636
"airport","foot",2,9.09090909090909
"airport","foreground",4,18.1818181818182
"airport","fork",5,22.7272727272727
"airport","forklift",4,18.1818181818182
"airport","freight",2,9.09090909090909
"airport","front",4,18.1818181818182
"airport","fuel",4,18.1818181818182
"airport","galore",1,4.54545454545455
"airport","gas",3,13.6363636363636
"airport","gasoline",1,4.54545454545455
"airport","gate",1,4.54545454545455
"airport","gosh",1,4.54545454545455
"airport","graph",1,4.54545454545455
"airport","green",1,4.54545454545455
"airport","greet",1,4.54545454545455
"airport","ground",9,40.9090909090909
"airport","group",3,13.6363636363636
"airport","guard",1,4.54545454545455
"airport","guy",4,18.1818181818182
"airport","hair",1,4.54545454545455
"airport","half",2,9.09090909090909
"airport","hand",4,18.1818181818182
"airport","handler",2,9.09090909090909
"airport","hat",3,13.6363636363636
"airport","hatch",1,4.54545454545455
"airport","head",2,9.09090909090909
"airport","hei",1,4.54545454545455
"airport","heis",6,27.2727272727273
"airport","helicopter",13,59.0909090909091
"airport","hell",1,4.54545454545455
"airport","help",2,9.09090909090909
"airport","herd",4,18.1818181818182
"airport","hinge",1,4.54545454545455
"airport","hip",1,4.54545454545455
"airport","hockey",1,4.54545454545455
"airport","horizontal",1,4.54545454545455
"airport","hose",9,40.9090909090909
"airport","household",1,4.54545454545455
"airport","idea",2,9.09090909090909
"airport","image",2,9.09090909090909
"airport","information",1,4.54545454545455
"airport","inside",6,27.2727272727273
"airport","instruction",1,4.54545454545455
"airport","interior",2,9.09090909090909
"airport","into",1,4.54545454545455
"airport","item",3,13.6363636363636
"airport","iti",4,18.1818181818182
"airport","itis",14,63.6363636363636
"airport","jack",1,4.54545454545455
"airport","jacket",2,9.09090909090909
"airport","jet",8,36.3636363636364
"airport","jets",1,4.54545454545455
"airport","jumbo",6,27.2727272727273
"airport","jumpsuit",1,4.54545454545455
"airport","kid",2,9.09090909090909
"airport","kind",10,45.4545454545455
"airport","knee",1,4.54545454545455
"airport","knife",3,13.6363636363636
"airport","knight",1,4.54545454545455
"airport","lacrosse",1,4.54545454545455
"airport","lady",1,4.54545454545455
"airport","leave",1,4.54545454545455
"airport","left",5,22.7272727272727
"airport","level",1,4.54545454545455
"airport","lift",3,13.6363636363636
"airport","light",1,4.54545454545455
"airport","lime",1,4.54545454545455
"airport","line",9,40.9090909090909
"airport","lining",1,4.54545454545455
"airport","loa",1,4.54545454545455
"airport","load",2,9.09090909090909
"airport","loading",1,4.54545454545455
"airport","look",1,4.54545454545455
"airport","lord",1,4.54545454545455
"airport","lot",11,50
"airport","luggage",16,72.7272727272727
"airport","man",10,45.4545454545455
"airport","member",1,4.54545454545455
"airport","mess",1,4.54545454545455
"airport","middle",4,18.1818181818182
"airport","mint",1,4.54545454545455
"airport","morne",1,4.54545454545455
"airport","morning",2,9.09090909090909
"airport","motion",1,4.54545454545455
"airport","motor",1,4.54545454545455
"airport","mover",1,4.54545454545455
"airport","name",2,9.09090909090909
"airport","newspaper",1,4.54545454545455
"airport","nose",5,22.7272727272727
"airport","note",1,4.54545454545455
"airport","number",1,4.54545454545455
"airport","observation",2,9.09090909090909
"airport","office",1,4.54545454545455
"airport","officer",2,9.09090909090909
"airport","official",1,4.54545454545455
"airport","ohh",1,4.54545454545455
"airport","oil",1,4.54545454545455
"airport","one",11,50
"airport","outfit",1,4.54545454545455
"airport","outfits",1,4.54545454545455
"airport","page",5,22.7272727272727
"airport","pain",1,4.54545454545455
"airport","pallet",1,4.54545454545455
"airport","pants",1,4.54545454545455
"airport","paper",2,9.09090909090909
"airport","parable",1,4.54545454545455
"airport","part",4,18.1818181818182
"airport","passenger",2,9.09090909090909
"airport","passengers",2,9.09090909090909
"airport","passport",1,4.54545454545455
"airport","pathway",1,4.54545454545455
"airport","peace",1,4.54545454545455
"airport","pedestrian",1,4.54545454545455
"airport","people",18,81.8181818181818
"airport","peoples",1,4.54545454545455
"airport","person",8,36.3636363636364
"airport","photo",1,4.54545454545455
"airport","picture",5,22.7272727272727
"airport","piece",1,4.54545454545455
"airport","pilot",5,22.7272727272727
"airport","pinkish",1,4.54545454545455
"airport","place",4,18.1818181818182
"airport","plane",18,81.8181818181818
"airport","plate",2,9.09090909090909
"airport","player",1,4.54545454545455
"airport","plenty",1,4.54545454545455
"airport","point",1,4.54545454545455
"airport","pointy",1,4.54545454545455
"airport","pole",1,4.54545454545455
"airport","police",3,13.6363636363636
"airport","policeman",3,13.6363636363636
"airport","pong",1,4.54545454545455
"airport","pool",1,4.54545454545455
"airport","postage",1,4.54545454545455
"airport","postcard",3,13.6363636363636
"airport","postmark",1,4.54545454545455
"airport","power",1,4.54545454545455
"airport","problem",1,4.54545454545455
"airport","propeller",2,9.09090909090909
"airport","pun",1,4.54545454545455
"airport","purpose",1,4.54545454545455
"airport","purse",1,4.54545454545455
"airport","question",1,4.54545454545455
"airport","rac",1,4.54545454545455
"airport","race",1,4.54545454545455
"airport","rack",1,4.54545454545455
"airport","radio",1,4.54545454545455
"airport","ramp",3,13.6363636363636
"airport","random",1,4.54545454545455
"airport","reality",1,4.54545454545455
"airport","reason",1,4.54545454545455
"airport","rectangular",1,4.54545454545455
"airport","rescue",1,4.54545454545455
"airport","right",4,18.1818181818182
"airport","ring",1,4.54545454545455
"airport","rocket",8,36.3636363636364
"airport","rockets",1,4.54545454545455
"airport","rolling",1,4.54545454545455
"airport","roof",2,9.09090909090909
"airport","rotor",1,4.54545454545455
"airport","rudder",1,4.54545454545455
"airport","run",1,4.54545454545455
"airport","runway",4,18.1818181818182
"airport","sail",1,4.54545454545455
"airport","saucer",3,13.6363636363636
"airport","scene",12,54.5454545454545
"airport","screen",2,9.09090909090909
"airport","section",1,4.54545454545455
"airport","sector",1,4.54545454545455
"airport","security",4,18.1818181818182
"airport","series",1,4.54545454545455
"airport","service",1,4.54545454545455
"airport","set",1,4.54545454545455
"airport","shadow",1,4.54545454545455
"airport","ship",2,9.09090909090909
"airport","shirt",3,13.6363636363636
"airport","shoe",2,9.09090909090909
"airport","shoot",1,4.54545454545455
"airport","shuttle",1,4.54545454545455
"airport","side",5,22.7272727272727
"airport","situation",1,4.54545454545455
"airport","size",1,4.54545454545455
"airport","skirt",1,4.54545454545455
"airport","sky",8,36.3636363636364
"airport","smile",1,4.54545454545455
"airport","smoke",8,36.3636363636364
"airport","smoking",2,9.09090909090909
"airport","smuggler",5,22.7272727272727
"airport","sock",1,4.54545454545455
"airport","someone",1,4.54545454545455
"airport","sort",4,18.1818181818182
"airport","space",1,4.54545454545455
"airport","spaceship",6,27.2727272727273
"airport","spade",9,40.9090909090909
"airport","spread",2,9.09090909090909
"airport","spy",1,4.54545454545455
"airport","stack",2,9.09090909090909
"airport","staff",1,4.54545454545455
"airport","stair",7,31.8181818181818
"airport","staircase",1,4.54545454545455
"airport","stairway",1,4.54545454545455
"airport","stairwell",1,4.54545454545455
"airport","stamp",2,9.09090909090909
"airport","star",1,4.54545454545455
"airport","state",1,4.54545454545455
"airport","step",2,9.09090909090909
"airport","steward",1,4.54545454545455
"airport","stewardess",1,4.54545454545455
"airport","storage",1,4.54545454545455
"airport","street",1,4.54545454545455
"airport","string",1,4.54545454545455
"airport","strip",1,4.54545454545455
"airport","stripe",5,22.7272727272727
"airport","stuff",6,27.2727272727273
"airport","suit",2,9.09090909090909
"airport","suitcase",6,27.2727272727273
"airport","suits",1,4.54545454545455
"airport","supply",1,4.54545454545455
"airport","table",1,4.54545454545455
"airport","tail",3,13.6363636363636
"airport","talk",1,4.54545454545455
"airport","tank",1,4.54545454545455
"airport","tanker",1,4.54545454545455
"airport","tarmac",6,27.2727272727273
"airport","taxi",1,4.54545454545455
"airport","tech",1,4.54545454545455
"airport","terminal",5,22.7272727272727
"airport","thati",1,4.54545454545455
"airport","thatis",10,45.4545454545455
"airport","thereis",12,54.5454545454545
"airport","theyare",9,40.9090909090909
"airport","theyhave",1,4.54545454545455
"airport","thing",11,50
"airport","ticket",5,22.7272727272727
"airport","ticketing",1,4.54545454545455
"airport","time",3,13.6363636363636
"airport","titis",2,9.09090909090909
"airport","ton",1,4.54545454545455
"airport","top",6,27.2727272727273
"airport","tourist",1,4.54545454545455
"airport","tower",8,36.3636363636364
"airport","toy",1,4.54545454545455
"airport","track",2,9.09090909090909
"airport","tractor",3,13.6363636363636
"airport","traffic",6,27.2727272727273
"airport","trailer",1,4.54545454545455
"airport","train",3,13.6363636363636
"airport","training",1,4.54545454545455
"airport","tram",1,4.54545454545455
"airport","transport",1,4.54545454545455
"airport","transporter",1,4.54545454545455
"airport","travel",1,4.54545454545455
"airport","trench",2,9.09090909090909
"airport","trip",1,4.54545454545455
"airport","trolley",1,4.54545454545455
"airport","truck",11,50
"airport","trucks",3,13.6363636363636
"airport","trying",1,4.54545454545455
