"stimuli","lemma","n","percent"
"arrival-2","land",1,100
"arrival-2","left",1,100
"arrival-2","lot",1,100
"arrival-2","luggage",1,100
"arrival-2","man",1,100
"arrival-2","marker",1,100
"arrival-2","megaphone",1,100
"arrival-2","member",1,100
"arrival-2","middle",1,100
"arrival-2","monkey",1,100
"arrival-2","one",1,100
"arrival-2","origami",1,100
"arrival-2","page",1,100
"arrival-2","paper",1,100
"arrival-2","parrot",1,100
"arrival-2","people",1,100
"arrival-2","person",1,100
"arrival-2","picture",1,100
"arrival-2","pointy",1,100
"arrival-2","postcard",1,100
"arrival-2","rabbit",1,100
"arrival-2","railing",1,100
"arrival-2","rest",1,100
"arrival-2","rise",1,100
"arrival-2","sail",1,100
"arrival-2","score",1,100
"arrival-2","screen",1,100
"arrival-2","series",1,100
"arrival-2","ship",1,100
"arrival-2","shirt",1,100
"arrival-2","shoulder",1,100
"arrival-2","side",1,100
"arrival-2","smoke",1,100
"arrival-2","sort",1,100
"arrival-2","statue",1,100
"arrival-2","steam",1,100
"arrival-2","steamboat",1,100
"arrival-2","story",1,100
"arrival-2","suit",1,100
"arrival-2","suitcase",1,100
"arrival-2","taile",1,100
"arrival-2","teapot",1,100
"arrival-2","theme",1,100
"arrival-2","tie",1,100
"arrival-2","time",1,100
"arrival-2","titanic",1,100
"arrival-2","tone",1,100
"arrival-2","view",1,100
"arrival-2","woman",1,100
"arrival-3","accordion",1,100
"arrival-3","arm",1,100
"arrival-3","arrow",1,100
"arrival-3","background",1,100
"arrival-3","barbershop",1,100
"arrival-3","basket",1,100
"arrival-3","bed",1,100
"arrival-3","bicycle",1,100
"arrival-3","book",1,100
"arrival-3","box",1,100
"arrival-3","boy",1,100
"arrival-3","building",1,100
"arrival-3","busker",1,100
"arrival-3","cat",1,100
"arrival-3","certainty",1,100
"arrival-3","chap",1,100
"arrival-3","chicken",1,100
"arrival-3","child",1,100
"arrival-3","ching",1,100
"arrival-3","city",1,100
"arrival-3","clockwork",1,100
"arrival-3","color",1,100
"arrival-3","combination",1,100
"arrival-3","compass",1,100
"arrival-3","contraption",1,100
"arrival-3","couple",1,100
"arrival-3","crab",1,100
"arrival-3","creature",1,100
"arrival-3","cup",1,100
"arrival-3","day",1,100
"arrival-3","destination",1,100
"arrival-3","discription",1,100
"arrival-3","dot",1,100
"arrival-3","ears",1,100
"arrival-3","egg",1,100
"arrival-3","floor",1,100
"arrival-3","foe",1,100
"arrival-3","foot",1,100
"arrival-3","garment",1,100
"arrival-3","gizmo",1,100
"arrival-3","grasp",1,100
"arrival-3","ground",1,100
"arrival-3","hair",1,100
"arrival-3","hand",1,100
"arrival-3","hat",1,100
"arrival-3","head",1,100
"arrival-3","headline",1,100
"arrival-3","height",1,100
"arrival-3","hermit",1,100
"arrival-3","hold",1,100
"arrival-3","hotel",1,100
"arrival-3","image",1,100
"arrival-3","inche",1,100
"arrival-3","inside",1,100
"arrival-3","lap",1,100
"arrival-3","left",1,100
"arrival-3","length",1,100
"arrival-3","light",1,100
"arrival-3","lizard",1,100
"arrival-3","lot",1,100
"arrival-3","man",1,100
"arrival-3","map",1,100
"arrival-3","member",1,100
"arrival-3","middle",1,100
"arrival-3","middleton",1,100
"arrival-3","mind",1,100
"arrival-3","music",1,100
"arrival-3","neck",1,100
"arrival-3","necktie",1,100
"arrival-3","newspaper",1,100
"arrival-3","night",1,100
"arrival-3","nose",1,100
"arrival-3","notebook",1,100
"arrival-3","one",1,100
"arrival-3","page",1,100
"arrival-3","pair",1,100
"arrival-3","people",1,100
"arrival-3","picture",1,100
"arrival-3","piece",1,100
"arrival-3","pigeon",1,100
"arrival-3","pointy",1,100
"arrival-3","pram",1,100
"arrival-3","purpose",1,100
"arrival-3","rabbit",1,100
"arrival-3","reading",1,100
"arrival-3","respects",1,100
"arrival-3","road",1,100
"arrival-3","room",1,100
"arrival-3","row",1,100
"arrival-3","samaritan",1,100
"arrival-3","savior",1,100
"arrival-3","scene",1,100
"arrival-3","seller",1,100
"arrival-3","shave",1,100
"arrival-3","shoulder",1,100
"arrival-3","shoulders",1,100
"arrival-3","side",1,100
"arrival-3","sidewalk",1,100
"arrival-3","smoke",1,100
"arrival-3","snowflake",1,100
"arrival-3","sort",1,100
"arrival-3","spike",1,100
"arrival-3","stage",1,100
"arrival-3","stand",1,100
"arrival-3","steam",1,100
"arrival-3","street",1,100
"arrival-3","suitcase",1,100
"arrival-3","tea",1,100
"arrival-3","thing",1,100
"arrival-3","thumbnail",1,100
"arrival-3","time",1,100
"arrival-3","timepiece",1,100
"arrival-3","top",1,100
"arrival-3","travel",1,100
"arrival-3","trumpet",1,100
"arrival-3","tuck",1,100
"arrival-3","type",1,100
"arrival-3","vendor",1,100
"arrival-3","violin",1,100
"arrival-3","wall",1,100
"arrival-3","way",1,100
"arrival-3","wheel",1,100
"arrival-3","wherever",1,100
"arrival-3","wind",1,100
"arrival-3","woman",1,100
"arrival-3","work",1,100
"arrival-3","write",1,100
"arrival-3","year",1,100
"arrival-4","a",1,100
"arrival-4","act",1,100
"arrival-4","adventure",1,100
"arrival-4","advertising",1,100
"arrival-4","air",1,100
"arrival-4","alien",1,100
"arrival-4","apartment",1,100
"arrival-4","appear",1,100
"arrival-4","apron",1,100
"arrival-4","aqueduct",1,100
"arrival-4","arm",1,100
"arrival-4","arrow",1,100
"arrival-4","artichoke",1,100
"arrival-4","back",1,100
"arrival-4","background",1,100
"arrival-4","bag",1,100
"arrival-4","barrette",1,100
"arrival-4","basket",1,100
"arrival-4","battle",1,100
"arrival-4","beach",1,100
"arrival-4","beard",1,100
"arrival-4","beast",1,100
"arrival-4","being",1,100
"arrival-4","bench",1,100
"arrival-4","bicycle",1,100
"arrival-4","bid",1,100
"arrival-4","billboard",1,100
"arrival-4","bird",1,100
"arrival-4","bit",1,100
"arrival-4","bits",1,100
"arrival-4","board",1,100
"arrival-4","boarding",1,100
"arrival-4","boat",1,100
"arrival-4","body",1,100
"arrival-4","boiler",1,100
"arrival-4","book",1,100
"arrival-4","boom",1,100
"arrival-4","boot",1,100
"arrival-4","bottle",1,100
"arrival-4","box",1,100
"arrival-4","boy",1,100
"arrival-4","bread",1,100
"arrival-4","bridge",1,100
"arrival-4","bright",1,100
"arrival-4","britain",1,100
"arrival-4","bug",1,100
"arrival-4","building",1,100
"arrival-4","burl",1,100
"arrival-4","business",1,100
"arrival-4","but",1,100
"arrival-4","button",1,100
"arrival-4","camera",1,100
"arrival-4","car",1,100
"arrival-4","cat",1,100
"arrival-4","cell",1,100
"arrival-4","chair",1,100
"arrival-4","character",1,100
"arrival-4","chest",1,100
"arrival-4","chestnut",1,100
"arrival-4","child",1,100
"arrival-4","chimmny",1,100
"arrival-4","chimney",1,100
"arrival-4","ching",1,100
"arrival-4","circle",1,100
"arrival-4","city",1,100
"arrival-4","closing",1,100
"arrival-4","clothes",1,100
"arrival-4","clothing",1,100
"arrival-4","cluster",1,100
"arrival-4","coat",1,100
"arrival-4","coddle",1,100
"arrival-4","coffee",1,100
"arrival-4","coin",1,100
"arrival-4","colour",1,100
"arrival-4","commuter",1,100
"arrival-4","conversation",1,100
"arrival-4","count",1,100
"arrival-4","couple",1,100
"arrival-4","creature",1,100
"arrival-4","cube",1,100
"arrival-4","cup",1,100
"arrival-4","cut",1,100
"arrival-4","data",1,100
"arrival-4","dealings",1,100
"arrival-4","deck",1,100
"arrival-4","deeds",1,100
"arrival-4","depiction",1,100
"arrival-4","description",1,100
"arrival-4","design",1,100
"arrival-4","detail",1,100
"arrival-4","dial",1,100
