"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","aoa","lf","LgSUBTLCD2","Age_Of_Acquisition2"
"ladybug","1.1459999999999999",4.84,7,"NA",NA,"4.84",1.14612803567824,"1.1459999999999999","4.84"
"lamp","2.5859999999999999",4,4,"NA",NA,"4",2.5854607295085,"2.5859999999999999","4"
"leaf","2.3380000000000001",4.6,3,"NA",NA,"4.5999999999999996",2.3384564936046,"2.3380000000000001","4.6"
"lettuce","2.093",4.28,5,"NA",NA,"4.28",2.09342168516224,"2.093","4.28"
"level","3.202",6,4,"NA",NA,"6",3.20167017964658,"3.202","6"
"lightbulb","#",5.89,7,"NA",NA,"5.89",NA,"#","5.89"
"lighter","2.5529999999999999",7.117,4,"NA",NA,"7.1169050000000009",2.55266821611219,"2.5529999999999999","7.117"
"lighthouse","1.819",6.11,6,"NA",NA,"6.11",1.81954393554187,"1.819","6.11"
"lime","2.093",6.61,3,"NA",NA,"6.61",2.09342168516224,"2.093","6.61"
"lion","2.5169999999999999",4.42,4,"NA",NA,"4.42",2.51719589794997,"2.5169999999999999","4.42"
"lips","3.0249999999999999",3.79,4,"NA",NA,"3.79",3.02489596010748,"3.0249999999999999","3.79"
"lipstick","2.5209999999999999",5.42,7,"NA",NA,"5.42",2.52113808370404,"2.5209999999999999","5.42"
"lizard","2.0640000000000001",5.42,5,"NA",NA,"5.42",2.06445798922692,"2.0640000000000001","5.42"
"llama","1.4470000000000001",8.61,4,"NA",NA,"8.61",1.44715803134222,"1.4470000000000001","8.61"
"lobster","2.3050000000000002",7.44,6,"NA",NA,"7.44",2.30535136944662,"2.3050000000000002","7.44"
"lock","3.2709999999999999",5.74,3,"NA",NA,"5.74",3.27114431794908,"3.2709999999999999","5.74"
"locker","2.6920000000000002",8.22,4,"NA",NA,"8.2200000000000006",2.69196510276736,"2.6920000000000002","8.22"
"lollipop","1.792",3.89,7,"NA",NA,"3.89",1.79239168949825,"1.792","3.89"
"ludo","0.47699999999999998",NA,4,"NA",NA,NA,0.477121254719662,"0.47699999999999998",NA
"lynx","0.30099999999999999",10.53,5,"NA",NA,"10.53",0.301029995663981,"0.30099999999999999","10.53"
"magnet","1.978",6.1,6,"NA",NA,"6.1",1.97772360528885,"1.978","6.1"
"marble","2.19",7.05,5,"NA",NA,"7.05",2.19033169817029,"2.19","7.05"
"marker","2.2069999999999999",4.89,5,"NA",NA,"4.8899999999999997",2.20682587603185,"2.2069999999999999","4.89"
"mask","2.6819999999999999",4.8,4,"NA",NA,"4.8",2.68214507637383,"2.6819999999999999","4.8"
"match","3.1930000000000001",5.72,3,"NA",NA,"5.72",3.19256745333655,"3.1930000000000001","5.72"
"mattress","2.3639999999999999",5.1,6,"NA",NA,"5.0999999999999996",2.36361197989214,"2.3639999999999999","5.1"
"medal","2.4729999999999999",6.83,4,"NA",NA,"6.83",2.47275644931721,"2.4729999999999999","6.83"
"microphone","2.2330000000000001",6.25,8,"NA",NA,"6.25",2.23299611039215,"2.2330000000000001","6.25"
"microscope","2.0169999999999999",9.16,9,"NA",NA,"9.16",2.01703333929878,"2.0169999999999999","9.16"
"microwave","2.2200000000000002",7.67,8,"NA",NA,"7.67",2.22010808804005,"2.2200000000000002","7.67"
"mill","2.2829999999999999",8.17,3,"NA",NA,"8.17",2.28330122870355,"2.2829999999999999","8.17"
"mirror","2.9409999999999998",4.89,3,"NA",NA,"4.8899999999999997",2.94051648493257,"2.9409999999999998","4.89"
"mixer","1.6990000000000001",7.05,5,"NA",NA,"7.05",1.69897000433602,"1.6990000000000001","7.05"
"monkey","2.8940000000000001",4.21,5,"NA",NA,"4.21",2.89376176205794,"2.8940000000000001","4.21"
"moon","3.0670000000000002",4.83,3,"NA",NA,"4.83",3.06744284277638,"3.0670000000000002","4.83"
"moose","2.1040000000000001",5.22,3,"NA",NA,"5.22",2.10380372095596,"2.1040000000000001","5.22"
"mop","2.1819999999999999",5.11,3,"NA",NA,"5.1100000000000003",2.18184358794477,"2.1819999999999999","5.11"
"mosquito","1.881",6.1,7,"NA",NA,"6.1",1.88081359228079,"1.881","6.1"
"motorbike","1.544",7.95,7,"NA",NA,"7.95",1.54406804435028,"1.544","7.95"
"motorcycle","2.387",5.05,8,"NA",NA,"5.05",2.38738982633873,"2.387","5.05"
"mountain","2.9470000000000001",6.15,5,"NA",NA,"6.15",2.94743372188705,"2.9470000000000001","6.15"
"mouse","2.6030000000000002",4.94,3,"NA",NA,"4.9400000000000004",2.60314437262018,"2.6030000000000002","4.94"
"mousetrap","1.4470000000000001",6.78,7,"NA",NA,"6.78",1.44715803134222,"1.4470000000000001","6.78"
"mouth","3.48",3.58,3,"NA",NA,"3.58",3.48043814717782,"3.48","3.58"
"mummy","2.2229999999999999",5.47,4,"NA",NA,"5.47",2.22271647114758,"2.2229999999999999","5.47"
"mushroom","1.9239999999999999",6.44,6,"NA",NA,"6.44",1.92427928606188,"1.9239999999999999","6.44"
"mussel","0.95399999999999996",10,4,"NA",NA,"10",0.954242509439325,"0.95399999999999996","10"
"nail","2.8519999999999999",5.42,3,"NA",NA,"5.42",2.85186960072977,"2.8519999999999999","5.42"
"necklace","2.4470000000000001",5,6,"NA",NA,"5",2.44715803134222,"2.4470000000000001","5"
"needle","2.6360000000000001",5.32,4,"NA",NA,"5.32",2.63648789635337,"2.6360000000000001","5.32"
"nose","3.3279999999999998",2.95,3,"NA",NA,"2.95",3.32756326018728,"3.3279999999999998","2.95"
"nut","2.742",5.21,3,"NA",NA,"5.21",2.7419390777292,"2.742","5.21"
"nutcracker","1.5049999999999999",7.24,8,"NA",NA,"7.24",1.50514997831991,"1.5049999999999999","7.24"
"olive","2.2650000000000001",6.68,4,"NA",NA,"6.68",2.26481782300954,"2.2650000000000001","6.68"
"orange","2.8359999999999999",3.26,5,"NA",NA,"3.26",2.83569057149243,"2.8359999999999999","3.26"
"ostrich","1.532",6.42,6,"NA",NA,"6.42",1.53147891704226,"1.532","6.42"
"owl","2.14",6.21,2,"NA",NA,"6.21",2.13987908640124,"2.14","6.21"
"paint","3.0110000000000001",4.45,4,"NA",NA,"4.45",3.0111473607758,"3.0110000000000001","4.45"
"paintbrush","1.23",6.22,8,"NA",NA,"6.22",1.23044892137827,"1.23","6.22"
"painting","2.806",5.26,6,"NA",NA,"5.26",2.80617997398389,"2.806","5.26"
"pan","2.5649999999999999",4.72,3,"NA",NA,"4.72",2.56466606425209,"2.5649999999999999","4.72"
"panda","1.58",5.67,5,"NA",NA,"5.67",1.57978359661681,"1.58","5.67"
"pants","3.2480000000000002",3.227,5,"NA",NA,"3.2271000000000001",3.24821856119007,"3.2480000000000002","3.227"
"paper","3.42",4,4,"NA",NA,"4",3.41946007278607,"3.42","4"
"parachute","2.0830000000000002",7,7,"NA",NA,"7",2.08278537031645,"2.0830000000000002","7"
"parrot","1.982",5.58,5,"NA",NA,"5.58",1.98227123303957,"1.982","5.58"
"pasty","1.4770000000000001",11.17,5,"NA",NA,"11.17",1.47712125471966,"1.4770000000000001","11.17"
"peach","2.3279999999999998",4.21,3,"NA",NA,"4.21",2.32837960343874,"2.3279999999999998","4.21"
"peacock","1.7629999999999999",5.763,5,"NA",NA,"5.7634660000000002",1.76342799356294,"1.7629999999999999","5.763"
"peanut","2.56",5,5,"NA",NA,"5",2.55990662503611,"2.56","5"
"pear","1.653",4,3,"NA",NA,"4",1.65321251377534,"1.653","4"
"peas","2.2149999999999999",3.95,3,"NA",NA,"3.95",2.2148438480477,"2.2149999999999999","3.95"
"pelican","1.591",8.22,7,"NA",NA,"8.2200000000000006",1.5910646070265,"1.591","8.22"
"pen","2.9119999999999999",5.11,3,"NA",NA,"5.1100000000000003",2.91222205653242,"2.9119999999999999","5.11"
"pencil","2.593",4.06,5,"NA",NA,"4.0599999999999996",2.59328606702046,"2.593","4.06"
"pendant","1.462",10.3,7,"NA",NA,"10.3",1.46239799789896,"1.462","10.3"
"penguin","1.7849999999999999",5.68,7,"NA",NA,"5.68",1.78532983501077,"1.7849999999999999","5.68"
"pepper","2.4279999999999999",5.47,4,"NA",NA,"5.47",2.42813479402879,"2.4279999999999999","5.47"
"piano","2.7770000000000001",5.5,5,"NA",NA,"5.5",2.77670118398841,"2.7770000000000001","5.5"
"pie","2.8980000000000001",3.67,2,"NA",NA,"3.67",2.89817648349768,"2.8980000000000001","3.67"
"pig","3.024",3.84,3,"NA",NA,"3.84",3.02407498730743,"3.024","3.84"
"pigeon","2.2599999999999998",6.21,5,"NA",NA,"6.21",2.26007138798507,"2.2599999999999998","6.21"
"piggybank","#",5.508,8,"NA",NA,"5.5076980000000004",NA,"#","5.508"
"pill","2.589",6.06,3,"NA",NA,"6.06",2.58883172559421,"2.589","6.06"
"pillow","2.657",3.47,4,"NA",NA,"3.47",2.6570558528571,"2.657","3.47"
"pincers","0.84499999999999997",NA,6,"NA",NA,NA,0.845098040014257,"0.84499999999999997",NA
"pineapple","1.8979999999999999",6.25,6,"NA",NA,"6.25",1.89762709129044,"1.8979999999999999","6.25"
"pipe","2.8090000000000002",8.17,3,"NA",NA,"8.17",2.80888586735981,"2.8090000000000002","8.17"
"pistachio","1.38",8.74,8,"NA",NA,"8.74",1.38021124171161,"1.38","8.74"
"pitcher","2.0329999999999999",6.42,4,"NA",NA,"6.42",2.03342375548695,"2.0329999999999999","6.42"
"pitchfork","1.462",6.89,7,"NA",NA,"6.89",1.46239799789896,"1.462","6.89"
"pizza","2.9249999999999998",4.67,5,"NA",NA,"4.67",2.92531209149965,"2.9249999999999998","4.67"
"plant","2.92",3.95,5,"NA",NA,"3.95",2.92012332629072,"2.92","3.95"
"plate","2.9670000000000001",3.84,4,"NA",NA,"3.84",2.96661098668193,"2.9670000000000001","3.84"
"platypus","0.60199999999999998",7.71,8,"NA",NA,"7.71",0.602059991327962,"0.60199999999999998","7.71"
"pliers","1.6990000000000001",7,5,"NA",NA,"7",1.69897000433602,"1.6990000000000001","7"
"plum","2.0529999999999999",5.5,4,"NA",NA,"5.5",2.05307844348342,"2.0529999999999999","5.5"
"plunger","1.613",9.63,6,"NA",NA,"9.6300000000000008",1.61278385671974,"1.613","9.63"
"policeman","2.5880000000000001",4.44,8,"NA",NA,"4.4400000000000004",2.58771096501891,"2.5880000000000001","4.44"
"pomegranate","1",11.17,10,"NA",NA,"11.17",1,"1","11.17"
"pool","3.0790000000000002",5.15,3,"NA",NA,"5.15",3.07954300740291,"3.0790000000000002","5.15"
"popcorn","2.4910000000000001",4.17,7,"NA",NA,"4.17",2.49136169383427,"2.4910000000000001","4.17"
"poppy","1.792",10.367,4,"NA",NA,"10.367289999999999",1.79239168949825,"1.792","10.367"
"porcupine","1.3620000000000001",6.89,9,"NA",NA,"6.89",1.36172783601759,"1.3620000000000001","6.89"
"pot","2.883",5.95,3,"NA",NA,"5.95",2.88309335857569,"2.883","5.95"
"potato","2.5870000000000002",4.84,6,"NA",NA,"4.84",2.58658730467176,"2.5870000000000002","4.84"
"priest","2.7189999999999999",7.1,5,"NA",NA,"7.1",2.71850168886727,"2.7189999999999999","7.1"
"printer","1.869",7.61,6,"NA",NA,"7.61",1.86923171973098,"1.869","7.61"
"pumpkin","2.4409999999999998",4.78,7,"NA",NA,"4.78",2.44090908206522,"2.4409999999999998","4.78"
"purse","2.8279999999999998",5.53,3,"NA",NA,"5.53",2.82801506422398,"2.8279999999999998","5.53"
"puzzle","2.3959999999999999",5.11,4,"NA",NA,"5.1100000000000003",2.39619934709574,"2.3959999999999999","5.11"
"pyramid","2",7.61,7,"NA",NA,"7.61",2,"2","7.61"
"rabbit","2.6509999999999998",3.94,5,"NA",NA,"3.94",2.65127801399814,"2.6509999999999998","3.94"
"raccoon","1.708",6.79,5,"NA",NA,"6.79",1.70757017609794,"1.708","6.79"
"radio","3.2109999999999999",5.17,5,"NA",NA,"5.17",3.21085336531489,"3.2109999999999999","5.17"
"radish","1.431",5.25,5,"NA",NA,"5.25",1.43136376415899,"1.431","5.25"
"raisin","1.792",5.05,4,"NA",NA,"5.05",1.79239168949825,"1.792","5.05"
"raisins","1.887",NA,5,"NA",NA,NA,1.88649072517248,"1.887",NA
"rake","1.944",5.32,3,"NA",NA,"5.32",1.94448267215017,"1.944","5.32"
"raven","1.778",8.56,4,"NA",NA,"8.56",1.77815125038364,"1.778","8.56"
"razor","2.403",7.11,4,"NA",NA,"7.11",2.40312052117582,"2.403","7.11"
"refrigerator","2.4980000000000002",4.11,11,"NA",NA,"4.1100000000000003",2.4983105537896,"2.4980000000000002","4.11"
"rhino","1.613",5.89,4,"NA",NA,"5.89",1.61278385671974,"1.613","5.89"
"rhinoceros","1.4770000000000001",6,9,"NA",NA,"6",1.47712125471966,"1.4770000000000001","6"
"ribbon","2.1960000000000002",5.25,5,"NA",NA,"5.25",2.19589965240923,"2.1960000000000002","5.25"
"rice","2.6509999999999998",3.72,3,"NA",NA,"3.72",2.65127801399814,"2.6509999999999998","3.72"
"ring","3.3170000000000002",4.53,3,"NA",NA,"4.53",3.31722734917642,"3.3170000000000002","4.53"
"road","3.4420000000000002",4.55,3,"NA",NA,"4.55",3.44200915914095,"3.4420000000000002","4.55"
"rocket","2.4609999999999999",5.63,5,"NA",NA,"5.63",2.46089784275655,"2.4609999999999999","5.63"
"roof","3.06",5,3,"NA",NA,"5",3.06032002868829,"3.06","5"
"rooster","2.0129999999999999",6.41,5,"NA",NA,"6.41",2.01283722470517,"2.0129999999999999","6.41"
"rope","2.8159999999999998",5.44,3,"NA",NA,"5.44",2.81624129999178,"2.8159999999999998","5.44"
"rose","2.92",6.11,3,"NA",NA,"6.11",2.92012332629072,"2.92","6.11"
"rug","2.5499999999999998",4.61,3,"NA",NA,"4.6100000000000003",2.55022835305509,"2.5499999999999998","4.61"
"ruler","2.1429999999999998",5.94,4,"NA",NA,"5.94",2.1430148002541,"2.1429999999999998","5.94"
"safe","3.5470000000000002",5.11,3,"NA",NA,"5.1100000000000003",3.54691264318124,"3.5470000000000002","5.11"
"sailboat","1.69",4.65,6,"NA",NA,"4.6500000000000004",1.69019608002851,"1.69","4.65"
"salt","2.7879999999999998",5.05,4,"NA",NA,"5.05",2.78746047451842,"2.7879999999999998","5.05"
"saltshaker","0.77800000000000002",5.42,8,"NA",NA,"5.42",0.778151250383644,"0.77800000000000002","5.42"
"sandal","0.95399999999999996",5.21,5,"NA",NA,"5.21",0.954242509439325,"0.95399999999999996","5.21"
"sandcastle","0.69899999999999995",5.42,9,"NA",NA,"5.42",0.698970004336019,"0.69899999999999995","5.42"
"sausage","2.3559999999999999",6.05,5,"NA",NA,"6.05",2.35602585719312,"2.3559999999999999","6.05"
"saw","3.8079999999999998",5.359,2,"NA",NA,"5.3585000000000003",3.80753502806885,"3.8079999999999998","5.359"
"saxophone","1.653",9.1,8,"NA",NA,"9.1",1.65321251377534,"1.653","9.1"
"scale","2.593",8.85,4,"NA",NA,"8.85",2.59328606702046,"2.593","8.85"
"scarf","2.2200000000000002",5.68,5,"NA",NA,"5.68",2.22010808804005,"2.2200000000000002","5.68"
"scissors","2.3180000000000001",4.5,5,"NA",NA,"4.5",2.31806333496276,"2.3180000000000001","4.5"
"scooter","1.8979999999999999",6.68,5,"NA",NA,"6.68",1.89762709129044,"1.8979999999999999","6.68"
"scorpion","1.748",7.84,8,"NA",NA,"7.84",1.7481880270062,"1.748","7.84"
"screw","3.1269999999999998",6.65,4,"NA",NA,"6.65",3.1274287778516,"3.1269999999999998","6.65"
"screwdriver","1.929",6,9,"NA",NA,"6",1.92941892571429,"1.929","6"
"sea","3.1320000000000001",4.74,2,"NA",NA,"4.74",3.13161866434913,"3.1320000000000001","4.74"
"seagull","1.544",5.42,5,"NA",NA,"5.42",1.54406804435028,"1.544","5.42"
"seahorse","0.90300000000000002",5.83,6,"NA",NA,"5.83",0.903089986991944,"0.90300000000000002","5.83"
"seal","2.6749999999999998",5.42,3,"NA",NA,"5.42",2.67486114073781,"2.6749999999999998","5.42"
"seesaw","1.1759999999999999",4.81,4,"NA",NA,"4.8099999999999996",1.17609125905568,"1.1759999999999999","4.81"
"shanty","1.204",13.33,5,"NA",NA,"13.33",1.20411998265592,"1.204","13.33"
"shark","2.4129999999999998",5.47,4,"NA",NA,"5.47",2.41329976408125,"2.4129999999999998","5.47"
"sheep","2.5939999999999999",4.25,3,"NA",NA,"4.25",2.59439255037543,"2.5939999999999999","4.25"
"shield","2.41",6.5,4,"NA",NA,"6.5",2.40993312333129,"2.41","6.5"
"ship","3.0659999999999998",5.33,3,"NA",NA,"5.33",3.06595298031387,"3.0659999999999998","5.33"
"shirt","3.1459999999999999",3.53,3,"NA",NA,"3.53",3.14643813528577,"3.1459999999999999","3.53"
"shoe","2.9510000000000001",2.6,2,"NA",NA,"2.6",2.95133751879592,"2.9510000000000001","2.6"
"shoelace","1.431",4.16,5,"NA",NA,"4.16",1.43136376415899,"1.431","4.16"
"shorts","2.5529999999999999",3.95,5,"NA",NA,"3.95",2.55266821611219,"2.5529999999999999","3.95"
"shovel","2.403",6.28,4,"NA",NA,"6.28",2.40312052117582,"2.403","6.28"
"shower","3.1139999999999999",4.72,3,"NA",NA,"4.72",3.11394335230684,"3.1139999999999999","4.72"
"showerhead","0.90300000000000002",8.05,6,"NA",NA,"8.0500000000000007",0.903089986991944,"0.90300000000000002","8.05"
"shrimp","2.3929999999999998",7.11,5,"NA",NA,"7.11",2.39269695325967,"2.3929999999999998","7.11"
"sink","2.8109999999999999",4.47,4,"NA",NA,"4.47",2.8109042806687,"2.8109999999999999","4.47"
"skate","2.093",5.37,4,"NA",NA,"5.37",2.09342168516224,"2.093","5.37"
"ski","2.3479999999999999",6.68,3,"NA",NA,"6.68",2.34830486304816,"2.3479999999999999","6.68"
"skirt","2.5870000000000002",5.67,4,"NA",NA,"5.67",2.58658730467176,"2.5870000000000002","5.67"
"skis","1.724",6.68,4,"NA",NA,NA,1.72427586960079,"1.724","6.68"
"skittle","0.30099999999999999",NA,5,"NA",NA,"7.07",0.301029995663981,"0.30099999999999999","7.07"
"skunk","2.0329999999999999",5.32,5,"NA",NA,"5.32",2.03342375548695,"2.0329999999999999","5.32"
"skyscraper","1.532",8.26,9,"NA",NA,"8.26",1.53147891704226,"1.532","8.26"
"sled","1.7989999999999999",4.89,4,"NA",NA,"4.8899999999999997",1.79934054945358,"1.7989999999999999","4.89"
"slide","2.7559999999999998",4.79,4,"NA",NA,"4.79",2.75587485567249,"2.7559999999999998","4.79"
"slingshot","1.663",6.53,7,"NA",NA,"6.53",1.66275783168157,"1.663","6.53"
"slipper","1.716",5.26,5,"NA",NA,"5.26",1.7160033436348,"1.716","5.26"
"snake","2.722",5.1,4,"NA",NA,"5.0999999999999996",2.72181061521255,"2.722","5.1"
"snowman","1.724",3.47,6,"NA",NA,"3.47",1.72427586960079,"1.724","3.47"
"snowshoe","0.47699999999999998",7.68,5,"NA",NA,"7.68",0.477121254719662,"0.47699999999999998","7.68"
"soap","2.7130000000000001",3.17,3,"NA",NA,"3.17",2.71264970162721,"2.7130000000000001","3.17"
"sock","2.4809999999999999",2.94,3,"NA",NA,"2.94",2.4814426285023,"2.4809999999999999","2.94"
"sofa","2.3559999999999999",4.5,4,"NA",NA,"4.5",2.35602585719312,"2.3559999999999999","4.5"
"soldier","2.92",6.94,5,"NA",NA,"6.94",2.91960102378411,"2.92","6.94"
"spaghetti","2.29",4.33,7,"NA",NA,"4.33",2.29003461136252,"2.29","4.33"
"spatula","1.5049999999999999",7.32,7,"NA",NA,"7.32",1.50514997831991,"1.5049999999999999","7.32"
"speaker","2.4260000000000002",6.11,5,"NA",NA,"6.11",2.42651126136458,"2.4260000000000002","6.11"
"spear","2.0369999999999999",7.22,4,"NA",NA,"7.22",2.03742649794062,"2.0369999999999999","7.22"
"spider","2.3650000000000002",3.43,5,"NA",NA,"3.43",2.3654879848909,"2.3650000000000002","3.43"
"sponge","2.3580000000000001",5,5,"NA",NA,"5",2.35793484700045,"2.3580000000000001","5"
"spoon","2.4329999999999998",2.5,4,"NA",NA,"2.5",2.43296929087441,"2.4329999999999998","2.5"
"squid","1.881",7.32,5,"NA",NA,"7.32",1.88081359228079,"1.881","7.32"
"squirrel","2.2200000000000002",4.44,7,"NA",NA,"4.4400000000000004",2.22010808804005,"2.2200000000000002","4.44"
"stairs","2.9279999999999999",4.22,5,"NA",NA,"4.22",2.92788341033071,"2.9279999999999999","4.22"
"stapler","1.4910000000000001",5.83,6,"NA",NA,"5.83",1.49136169383427,"1.4910000000000001","5.83"
"staples","1.415",7.18,6,"NA",NA,NA,1.41497334797082,"1.415","7.18"
"starfish","1.3009999999999999",5.76,7,"NA",NA,"5.76",1.30102999566398,"1.3009999999999999","5.76"
"statue","2.5019999999999998",7.55,5,"NA",NA,"7.55",2.50242711998443,"2.5019999999999998","7.55"
"stocking","2.0329999999999999",6.68,6,"NA",NA,"6.68",2.03342375548695,"2.0329999999999999","6.68"
"stove","2.452",4.32,4,"NA",NA,"4.32",2.45178643552429,"2.452","4.32"
"strainer","1.079",9.63,6,"NA",NA,"9.6300000000000008",1.07918124604762,"1.079","9.63"
"straw","2.3929999999999998",4.22,4,"NA",NA,"4.22",2.39269695325967,"2.3929999999999998","4.22"
"strawberry","2.2229999999999999",4.21,8,"NA",NA,"4.21",2.22271647114758,"2.2229999999999999","4.21"
"stroller","1.4470000000000001",7.84,6,"NA",NA,"7.84",1.44715803134222,"1.4470000000000001","7.84"
"submarine","2.149",7.94,8,"NA",NA,"7.94",2.14921911265538,"2.149","7.94"
"suitcase","2.5710000000000002",8.22,6,"NA",NA,"8.2200000000000006",2.5705429398819,"2.5710000000000002","8.22"
"sun","3.2919999999999998",3.4,3,"NA",NA,"3.4",3.29181268746712,"3.2919999999999998","3.4"
"sunglasses","2.137",5.56,9,"NA",NA,"5.56",2.13672056715641,"2.137","5.56"
"surfboard","1.4770000000000001",NA,7,"NA",NA,NA,1.47712125471966,"1.4770000000000001",NA
"sushi","2.161",11.19,4,"NA",NA,"11.19",2.16136800223497,"2.161","11.19"
"swan","2.0329999999999999",6.318,4,"NA",NA,"6.3176300000000012",2.03342375548695,"2.0329999999999999","6.318"
"sweater","2.669",5.22,5,"NA",NA,"5.22",2.66931688056611,"2.669","5.22"
"swing","2.9329999999999998",4.16,4,"NA",NA,"4.16",2.9334872878487,"2.9329999999999998","4.16"
"sword","2.6659999999999999",5.45,4,"NA",NA,"5.45",2.66558099101795,"2.6659999999999999","5.45"
"swordfish","1.3979999999999999",9.33,7,"NA",NA,"9.33",1.39794000867204,"1.3979999999999999","9.33"
"table","3.4609999999999999",4.39,4,"NA",NA,"4.3899999999999997",3.46089784275655,"3.4609999999999999","4.39"
"tambourine","1.518",6.53,8,"NA",NA,"6.53",1.51851393987789,"1.518","6.53"
"tampon","1.462",12.11,6,"NA",NA,"12.11",1.46239799789896,"1.462","12.11"
"tank","2.8290000000000002",7.17,4,"NA",NA,"7.17",2.82930377283102,"2.8290000000000002","7.17"
"tape","3.1720000000000002",4.42,3,"NA",NA,"4.42",3.17172645365323,"3.1720000000000002","4.42"
"teabag","0.47699999999999998",6.67,5,"NA",NA,"6.67",0.477121254719662,"0.47699999999999998","6.67"
"teapot","1.556",6.22,5,"NA",NA,"6.22",1.55630250076729,"1.556","6.22"
"telescope","1.944",6.95,8,"NA",NA,"6.95",1.94448267215017,"1.944","6.95"
"tent","2.649",5.16,4,"NA",NA,"5.16",2.64933485871214,"2.649","5.16"
"thermometer","1.8979999999999999",6.63,8,"NA",NA,"6.63",1.89762709129044,"1.8979999999999999","6.63"
"thermos","1.5680000000000001",8.29,5,"NA",NA,"8.2899999999999991",1.568201724067,"1.5680000000000001","8.29"
"thimble","1.1140000000000001",8.05,5,"NA",NA,"8.0500000000000007",1.11394335230684,"1.1140000000000001","8.05"
"tie","3.17",4.74,2,"NA",NA,"4.74",3.16967443405881,"3.17","4.74"
"tiger","2.645",4,4,"NA",NA,"4",2.64542226934909,"2.645","4"
"tile","1.8979999999999999",6.8,3,"NA",NA,"6.8",1.89762709129044,"1.8979999999999999","6.8"
"tire","2.5840000000000001",6.16,3,"NA",NA,"6.16",2.58433122436753,"2.5840000000000001","6.16"
"toast","3.0430000000000001",4.67,4,"NA",NA,"4.67",3.04336227802113,"3.0430000000000001","4.67"
"toaster","2.0750000000000002",6.72,5,"NA",NA,"6.72",2.07554696139253,"2.0750000000000002","6.72"
"toe","2.5880000000000001",3,2,"NA",NA,"3",2.58771096501891,"2.5880000000000001","3"
"toilet","2.98",3.54,5,"NA",NA,"3.54",2.98000337158375,"2.98","3.54"
"tongs","1.3979999999999999",7.778,4,"NA",NA,"7.7776390000000006",1.39794000867204,"1.3979999999999999","7.778"
"tongue","3.048",4.47,3,"NA",NA,"4.47",3.0484418035504,"3.048","4.47"
"toothpick","1.58",6.83,6,"NA",NA,"6.83",1.57978359661681,"1.58","6.83"
"toucan","0.60199999999999998",8.69,5,"NA",NA,"8.69",0.602059991327962,"0.60199999999999998","8.69"
"tower","2.7330000000000001",6.33,3,"NA",NA,"6.33",2.73319726510657,"2.7330000000000001","6.33"
"tractor","2.0289999999999999",5.5,6,"NA",NA,"5.5",2.02938377768521,"2.0289999999999999","5.5"
"trailer","2.4649999999999999",6.37,5,"NA",NA,"6.37",2.46538285144842,"2.4649999999999999","6.37"
"train","3.246",4,4,"NA",NA,"4",3.24575935596728,"3.246","4"
"trampoline","1.415",6.79,9,"NA",NA,"6.79",1.41497334797082,"1.415","6.79"
"treadmill","1.5680000000000001",11.15,7,"NA",NA,"11.15",1.568201724067,"1.5680000000000001","11.15"
"tree","3.21",3.57,3,"NA",NA,"3.57",3.21031851982623,"3.21","3.57"
"triangle","2.1",4.9,7,"NA",NA,"4.9000000000000004",2.10037054511756,"2.1","4.9"
"tricycle","1.2549999999999999",4.05,7,"NA",NA,"4.05",1.25527250510331,"1.2549999999999999","4.05"
"tripod","1.5049999999999999",9.26,6,"NA",NA,"9.26",1.50514997831991,"1.5049999999999999","9.26"
"trophy","2.3540000000000001",5.55,5,"NA",NA,"5.55",2.3541084391474,"2.3540000000000001","5.55"
"truck","3.1920000000000002",3.79,4,"NA",NA,"3.79",3.19200959265367,"3.1920000000000002","3.79"
"trumpet","2",6.28,7,"NA",NA,"6.28",2,"2","6.28"
"tulip","1.431",7.149,5,"NA",NA,"7.1488760000000005",1.43136376415899,"1.431","7.149"
"turnstile","1.079",13.67,7,"NA",NA,"13.67",1.07918124604762,"1.079","13.67"
"turtle","2.415",4.17,4,"NA",NA,"4.17",2.41497334797082,"2.415","4.17"
"tweezers","1.653",NA,6,"NA",NA,"7.16",1.65321251377534,"1.653","7.16"
"undershirt","1.1759999999999999",5.56,7,"NA",NA,"5.56",1.17609125905568,"1.1759999999999999","5.56"
"unicorn","1.58",4.83,8,"NA",NA,"4.83",1.57978359661681,"1.58","4.83"
"urinal","1.5680000000000001",8.47,6,"NA",NA,"8.4700000000000006",1.568201724067,"1.5680000000000001","8.47"
"vacuum","2.3199999999999998",6.74,6,"NA",NA,"6.74",2.32014628611105,"2.3199999999999998","6.74"
"van","2.9620000000000002",5.199,3,"NA",NA,"5.198645",2.96189547366785,"2.9620000000000002","5.199"
"vase","2.0859999999999999",7.89,3,"NA",NA,"7.89",2.08635983067475,"2.0859999999999999","7.89"
"violin","2.09",7.45,6,"NA",NA,"7.45",2.0899051114394,"2.09","7.45"
"volcano","2.0369999999999999",6.74,7,"NA",NA,"6.74",2.03742649794062,"2.0369999999999999","6.74"
"volleyball","1.708",7.05,7,"NA",NA,"7.05",1.70757017609794,"1.708","7.05"
"vulture","1.8129999999999999",8.89,5,"NA",NA,"8.89",1.81291335664286,"1.8129999999999999","8.89"
"waffle","1.857",5.32,4,"NA",NA,"5.32",1.85733249643127,"1.857","5.32"
