"participant","file","session","stimuli","occurrence","start","end","duration"
"Participant10","Participant10_Session2_Corrected.vtt","Session2","arrival_2",1,2023-07-20 01:27:49.81,2023-07-20 01:29:44.47,1.91100000143051
"Participant10","Participant10_Session2_Corrected.vtt","Session2","arrival_3",1,2023-07-20 01:30:02.76,2023-07-20 01:32:18.228,2.25779999891917
"Participant10","Participant10_Session2_Corrected.vtt","Session2","campsite",1,2023-07-20 01:32:44.46,2023-07-20 01:38:18.53,5.56783333222071
"Participant10","Participant10_Session2_Corrected.vtt","Session2","airport",1,2023-07-20 01:38:50.39,2023-07-20 01:42:53.773,4.05638333161672
"Participant11","Participant11_Session1_Corrected .vtt","Session1","wanderer",1,2023-07-20 00:01:02.28,2023-07-20 00:43:23.071,42.3465166687965
"Participant11","Participant11_Session1_Corrected .vtt","Session1","airport",1,2023-07-20 00:44:30.06,2023-07-20 00:54:29.24,9.98633333444595
"Participant11","Participant11_Session1_Corrected .vtt","Session1","waldo-1",1,2023-07-20 00:55:21.98,2023-07-20 01:04:54.396,9.5402666648229
"Participant11","Participant11_Session1_Corrected .vtt","Session1","picture_this",1,2023-07-20 01:05:39.87,2023-07-20 01:09:55.096,4.25376666784287
"Participant11","Participant11_Session1_Corrected .vtt","Session1","flowerman",1,2023-07-20 01:10:43.93,2023-07-20 01:24:29.465,13.7589166641235
"Participant11","Participant11_Session2_Corrected.vtt","Session2","dinosaurs_spacemen_and_ghouls",1,2023-07-20 00:01:00.85,2023-07-20 00:04:50.387,3.82561666965485
"Participant11","Participant11_Session2_Corrected.vtt","Session2","arrival-6",1,2023-07-20 00:05:28.05,2023-07-20 00:23:25.224,17.9529000004133
"Participant11","Participant11_Session2_Corrected.vtt","Session2","quest",1,2023-07-20 00:24:13.314,2023-07-20 00:45:19.232,21.0986333370209
"Participant11","Participant11_Session2_Corrected.vtt","Session2","arrival-1",1,2023-07-20 00:46:02.49,2023-07-20 00:55:54.704,9.87023333311081
"Participant11","Participant11_Session2_Corrected.vtt","Session2","wild_west",1,2023-07-20 00:56:48.01,2023-07-20 01:01:41.009,4.88331666787465
"Participant11","Participant11_Session2_Corrected.vtt","Session2","arrival-2",1,2023-07-20 01:02:20.53,2023-07-20 01:08:15.642,5.9185333331426
"Participant11","Participant11_Session2_Corrected.vtt","Session2","being_a_pirate",1,2023-07-20 01:08:47.05,2023-07-20 01:13:22.191,4.58568333387375
"Participant11","Participant11_Session2_Corrected.vtt","Session2","exhibit-12",1,2023-07-20 01:14:33.91,2023-07-20 01:17:20.72,2.78016666571299
"Participant11","Participant11_Session2_Corrected.vtt","Session2","unfriendly_giants",1,2023-07-20 01:18:12.288,2023-07-20 01:21:57.058,3.74616666634878
"Participant11","Participant11_Session2_Corrected.vtt","Session2","birthday_party_fun",1,2023-07-20 01:22:44.92,2023-07-20 01:26:28.93,3.73349999984105
"Participant11","Participant11_Session2_Corrected.vtt","Session2","ancient_rome",1,2023-07-20 01:26:56.37,2023-07-20 01:30:21.601,3.42051666975021
"Participant11","Participant11_Session2_Corrected.vtt","Session2","escape_from_the_zoo",1,2023-07-20 01:31:11.139,2023-07-20 01:34:38.301,3.45270000298818
"Participant11","Participant11_Session2_Corrected.vtt","Session2","by_the_lake",1,2023-07-20 01:34:54.48,2023-07-20 01:37:13.213,2.31221666733424
