"","source","agreement","stimuli","n","percent","lemma_naming","lemma_dis","dist"
"1","brodeur",72,"exhibit_12",2,6.25,"fishingrod","fishing",0.1
"2","brodeur",72,"wanderer",28,87.5,"fishingrod","fishing",0.1
"3","dr2",100,"arrival_1",2,6.25,"clothespin","clothes",0.1
"4","dr2",100,"arrival_2",3,9.375,"clothespin","clothes",0.1
"5","dr2",100,"arrival_3",2,6.25,"clothespin","clothes",0.1
"6","dr2",100,"being_a_pirate",2,6.25,"clothespin","clothes",0.1
"7","dr2",100,"journey",3,9.375,"clothespin","clothes",0.1
"8","dr2",100,"make_a_splash",2,6.25,"clothespin","clothes",0.1
"9","dr2",100,"picture_this",2,6.25,"clothespin","clothes",0.1
"10","dr2",100,"return",2,6.25,"clothespin","clothes",0.1
"11","boss",94,"flowerman",2,6.25,"broom","bedroom",0.0952380952380952
"12","boss",94,"journey",12,37.5,"broom","bedroom",0.0952380952380952
"13","boss",94,"return",19,59.375,"broom","bedroom",0.0952380952380952
"14","boss",100,"arrival_1",3,9.375,"feather","leather",0.0952380952380952
"15","boss",95,"airport",3,9.375,"lighter","fighter",0.0952380952380952
"16","boss",95,"arrival_2",3,9.375,"lighter","light",0.0952380952380952
"17","boss",95,"arrival_3",18,56.25,"lighter","light",0.0952380952380952
"18","boss",95,"arrival_5",11,34.375,"lighter","light",0.0952380952380952
"19","boss",95,"arrival_6",11,34.375,"lighter","light",0.0952380952380952
"20","boss",95,"birthday_party_fun",2,6.25,"lighter","light",0.0952380952380952
"21","boss",95,"dinosaurs_spacemen_and_ghouls",23,71.875,"lighter","light",0.0952380952380952
"22","boss",95,"flowerman",23,71.875,"lighter","light",0.0952380952380952
"23","boss",95,"journey",26,81.25,"lighter","light",0.0952380952380952
"24","boss",95,"quest",26,81.25,"lighter","light",0.0952380952380952
"25","boss",95,"return",26,81.25,"lighter","light",0.0952380952380952
"26","boss",95,"wanderer",28,87.5,"lighter","light",0.0952380952380952
"27","boss",84,"wanderer",3,9.375,"plant","planets",0.0952380952380952
