"","lemma","source","agreement","target","stimuli"
"277","mouth","moreno-martinez",76,"mouth.jpg","arrival_4, arrival_5, arrival_6, make_a_splash, wanderer"
"278","owl","brodeur",100,"greathornowl.jpg","arrival_4, arrival_5"
"279","pet",NA,NA,NA,"arrival_4, arrival_5, arrival_6"
"280","phone",NA,NA,NA,"arrival_4, journey"
"281","point",NA,NA,NA,"arrival_4, quest, return, wanderer"
"282","pointy",NA,NA,NA,"arrival_4"
"283","question",NA,NA,NA,"arrival_4"
"284","row",NA,NA,NA,"arrival_4, being_a_pirate"
"285","shape",NA,NA,NA,"arrival_4, arrival_5, arrival_6, deep_sea_divers, return, wanderer"
"286","shirt","moreno-martinez",99,"shirt.jpg","arrival_4, arrival_5, flowerman, journey, picture_this, return, wanderer"
"287","shoe","boss",77,"manshoe.jpg","arrival_4, arrival_6, waldo_1"
"288","shovel","moreno-martinez",96,"showel.jpg","arrival_4"
"289","shower","DR2",96.7741935,"shower_01_og.jpg","arrival_4, wanderer"
"290","shrimp","brodeur",82,"shrimp.jpg","arrival_4"
"291","smokestack",NA,NA,NA,"arrival_4, arrival_6, wanderer"
"292","snake","moreno-martinez",92,"snake.jpg","arrival_4, escape_from_the_zoo, make_a_splash, wanderer"
"293","strawberry","boss",100,"strawberry.jpg","arrival_4"
"294","structure",NA,NA,NA,"arrival_4, quest, return, wanderer"
"295","suspender",NA,NA,NA,"arrival_4"
"296","teepee","DR2",100,"teepee_01_og.jpg","arrival_4"
"297","telephone",NA,NA,NA,"arrival_4"
"298","tentacle",NA,NA,NA,"arrival_4, quest, wanderer"
"299","thumb",NA,NA,NA,"arrival_4"
"300","town",NA,NA,NA,"arrival_4, arrival_5, flowerman, journey, waldo_1, wanderer, wild_west"
"301","uh",NA,NA,NA,"arrival_4, arrival_5, arrival_6, being_a_pirate, flowerman, journey, quest, return, wanderer"
"302","vase","boss",84,"vase02.jpg","arrival_4, arrival_5, arrival_6"
"303","vegetable",NA,NA,NA,"arrival_4, arrival_5"
"304","vest",NA,NA,NA,"arrival_4, arrival_5"
"305","work",NA,NA,NA,"arrival_4, arrival_5"
"306","apron","brodeur",95,"apron.jpg","arrival_5"
"307","banjo","brodeur",95,"banjo.jpg","arrival_5"
"308","chef",NA,NA,NA,"arrival_5"
"309","counter",NA,NA,NA,"arrival_5, journey"
"310","cupboard",NA,NA,NA,"arrival_5"
"311","dinner",NA,NA,NA,"arrival_5"
"312","drink",NA,NA,NA,"arrival_5"
"313","end",NA,NA,NA,"arrival_5, arrival_6, journey, quest, return, wanderer"
"314","flute",NA,NA,NA,"arrival_5"
"315","meal",NA,NA,NA,"arrival_5"
"316","plate","boss",92,"plate01b.jpg","arrival_5"
"317","propeller",NA,NA,NA,"arrival_5, journey, wanderer"
"318","rope","boss",86,"rope03.jpg","arrival_5, being_a_pirate, dinosaurs_spacemen_and_ghouls, quest, unfriendly_giants, wanderer"
"319","shop",NA,NA,NA,"arrival_5, escape_from_the_zoo, flowerman, waldo_1"
"320","suit",NA,NA,NA,"arrival_5, exhibit_12, picture_this, wanderer"
"321","torch",NA,NA,NA,"arrival_5"
"322","wine","DR2",70.7,"wine_01_og.jpg","arrival_5"
"323","wrench","brodeur",100,"stubbywrench01a.jpg","arrival_5"
"324","circle",NA,NA,NA,"arrival_6, journey, quest"
"325","coin",NA,NA,NA,"arrival_6"
"326","dandelion",NA,NA,NA,"arrival_6"
"327","desk",NA,NA,NA,"arrival_6, journey, return"
"328","dish",NA,NA,NA,"arrival_6"
"329","edge",NA,NA,NA,"arrival_6, flowerman, journey, return, wanderer"
"330","envelope","boss",100,"envelope03a.jpg","arrival_6"
