"","lemma","source","agreement","target","stimuli"
"587","carpet",NA,NA,NA,"journey"
"588","clouds",NA,NA,NA,"journey"
"589","computer",NA,NA,NA,"journey"
"590","cook",NA,NA,NA,"journey"
"591","couch","DR2",100,"couch_02_og.jpg","journey"
"592","crayon","boss",82,"crayon.jpg","journey, quest, return"
"593","desert",NA,NA,NA,"journey"
"594","dome",NA,NA,NA,"journey"
"595","doorway",NA,NA,NA,"journey, quest, return"
"596","draw",NA,NA,NA,"journey, quest, return"
"597","dresser","DR2",78.5714286,"dresser_02_og.jpg","journey"
"598","entrance",NA,NA,NA,"journey, quest"
"599","fall",NA,NA,NA,"journey, return"
"600","forest",NA,NA,NA,"journey, quest, return, wanderer"
"601","gold",NA,NA,NA,"journey, quest"
"602","gondola",NA,NA,NA,"journey"
"603","guard",NA,NA,NA,"journey, quest, return, waldo_1"
"604","lock","DR2",100,"lock_03_og.jpg","journey"
"605","magic",NA,NA,NA,"journey, quest, return"
"606","marker","boss",82,"marker01a.jpg","journey, return"
"607","moat",NA,NA,NA,"journey, quest"
"608","office",NA,NA,NA,"journey, return, waldo_1"
"609","papers",NA,NA,NA,"journey"
"610","rectangle",NA,NA,NA,"journey"
"611","reflection",NA,NA,NA,"journey"
"612","screen",NA,NA,NA,"journey"
"613","sister",NA,NA,NA,"journey"
"614","skateboard","brodeur, DR2",100,"skateboard.jpg","journey, journey"
"615","skateboard","brodeur, DR2",100,"skateboard_01_og.jpg","journey, journey"
"616","stoop",NA,NA,NA,"journey"
"617","stove","DR2",95.4545455,"stove_01_og.jpg","journey, return"
"618","stream",NA,NA,NA,"journey, return"
"619","towers",NA,NA,NA,"journey, quest, return"
"620","waterfall","brodeur",95,"waterfall.jpg","journey, quest"
"621","waterway",NA,NA,NA,"journey"
"622","world",NA,NA,NA,"journey, quest, return, wanderer"
"623","blanket",NA,NA,NA,"make_a_splash"
"624","lifeguard",NA,NA,NA,"make_a_splash"
"625","mushroom","boss",100,"mushroom01.jpg","make_a_splash"
"626","park",NA,NA,NA,"make_a_splash, quest"
"627","rainbow",NA,NA,NA,"make_a_splash, quest, return"
"628","slide","DR2",95.5,"slide_02_og.jpg","make_a_splash"
"629","splash",NA,NA,NA,"make_a_splash"
"630","body",NA,NA,NA,"picture_this, wanderer"
"631","cactus","brodeur",93,"cactus.jpg","picture_this"
"632","camel","brodeur",98,"dromedary.jpg","picture_this"
"633","sumo",NA,NA,NA,"picture_this"
"634","tongue","moreno-martinez",92,"tongue.jpg","picture_this"
"635","wrestler",NA,NA,NA,"picture_this"
"636","archway",NA,NA,NA,"quest, wanderer"
"637","beard",NA,NA,NA,"quest, return"
"638","buddha",NA,NA,NA,"quest"
"639","cliff",NA,NA,NA,"quest"
"640","close",NA,NA,NA,"quest"
"641","column",NA,NA,NA,"quest"
"642","crown","brodeur",88,"crown.jpg","quest, return"
"643","diive",NA,NA,NA,"quest, wanderer"
"644","dragonfly","brodeur",76,"dragonfly02.jpg","quest, return"
"645","flipper",NA,NA,NA,"quest, waldo_1"
"646","gear",NA,NA,NA,"quest"
"647","helmet","DR2",100,"helmet_01_og.jpg","quest, wanderer"
"648","jungle",NA,NA,NA,"quest"
"649","orange","boss",100,"orange.jpg","quest"
"650","parade",NA,NA,NA,"quest"
"651","ruin",NA,NA,NA,"quest"
"652","sash",NA,NA,NA,"quest"
"653","scroll",NA,NA,NA,"quest"
"654","scuba",NA,NA,NA,"quest, wanderer"
"655","seahorse","DR2",96.4,"seahorse_02_og.jpg","quest, wanderer"
"656","seat",NA,NA,NA,"quest"
"657","shell",NA,NA,NA,"quest, wanderer"
"658","squid","brodeur",88,"squid.jpg","quest, wanderer"
"659","swing","brodeur",98,"swing.jpg","quest"
"660","tank","DR2",95.1,"tank_02_og.jpg","quest, wanderer"
"661","temple",NA,NA,NA,"quest"
"662","tunnel",NA,NA,NA,"quest, wanderer"
"663","underwater",NA,NA,NA,"quest, return, wanderer"
"664","basement",NA,NA,NA,"return"
"665","bathroom",NA,NA,NA,"return"
"666","butterfly","moreno-martinez",99,"butterfly.jpg","return"
"667","cabinet",NA,NA,NA,"return"
"668","cave",NA,NA,NA,"return, wanderer"
"669","ceiling",NA,NA,NA,"return"
"670","feather","boss",100,"feather03a.jpg","return"
"671","green",NA,NA,NA,"return"
"672","inside",NA,NA,NA,"return"
"673","moon","moreno-martinez",95,"moon.jpg","return, wanderer"
"674","perch",NA,NA,NA,"return"
"675","periscope",NA,NA,NA,"return"
"676","pick",NA,NA,NA,"return"
"677","sink","DR2",97.6190476,"sink_01_og.jpg","return"
"678","son",NA,NA,NA,"return"
"679","submarine","DR2",100,"submarine_02_og.jpg","return, wanderer"
"680","throne",NA,NA,NA,"return"
"681","trap",NA,NA,NA,"return"
"682","bouquet",NA,NA,NA,"unfriendly_giants"
"683","catapult",NA,NA,NA,"unfriendly_giants"
"684","chess",NA,NA,NA,"unfriendly_giants"
"685","giant",NA,NA,NA,"unfriendly_giants, wanderer"
"686","giants",NA,NA,NA,"unfriendly_giants"
"687","hammer","boss",100,"hammer01.jpg","unfriendly_giants"
"688","hill",NA,NA,NA,"unfriendly_giants"
"689","straw","boss",83,"straw.jpg","unfriendly_giants"
"690","windmill","brodeur, DR2",100,"windmill.jpg","unfriendly_giants, unfriendly_giants"
"691","windmill","brodeur, DR2",100,"windmill_02_og.jpg","unfriendly_giants, unfriendly_giants"
"692","accident",NA,NA,NA,"waldo_1"
"693","ambulance",NA,NA,NA,"waldo_1"
"694","buckets",NA,NA,NA,"waldo_1"
"695","crossing",NA,NA,NA,"waldo_1"
"696","doctor",NA,NA,NA,"waldo_1, wild_west"
"697","fireman",NA,NA,NA,"waldo_1"
"698","garage",NA,NA,NA,"waldo_1"
"699","hotel",NA,NA,NA,"waldo_1, wild_west"
"700","manhole",NA,NA,NA,"waldo_1"
"701","market",NA,NA,NA,"waldo_1"
"702","mop","DR2",100,"mop_01_og.jpg","waldo_1"
"703","police",NA,NA,NA,"waldo_1"
"704","restaurant",NA,NA,NA,"waldo_1"
"705","snorkel",NA,NA,NA,"waldo_1"
"706","square",NA,NA,NA,"waldo_1"
"707","store",NA,NA,NA,"waldo_1, wild_west"
"708","triangle","brodeur",79,"triangle.jpg","waldo_1"
"709","waiter","DR2",97.1428571,"waiter_01_og.jpg","waldo_1"
"710","washer",NA,NA,NA,"waldo_1"
"711","arch",NA,NA,NA,"wanderer"
"712","aurora",NA,NA,NA,"wanderer"
"713","bathing",NA,NA,NA,"wanderer"
"714","borealis",NA,NA,NA,"wanderer"
"715","bottle","DR2",90.9090909,"bottle_01_og.png","wanderer"
"716","branch",NA,NA,NA,"wanderer"
"717","bubble",NA,NA,NA,"wanderer"
"718","buoy",NA,NA,NA,"wanderer"
"719","can",NA,NA,NA,"wanderer"
"720","cape",NA,NA,NA,"wanderer"
"721","claw",NA,NA,NA,"wanderer"
"722","crab","brodeur",98,"crab01.jpg","wanderer"
"723","crane",NA,NA,NA,"wanderer"
"724","dark",NA,NA,NA,"wanderer"
"725","deer","DR2",100,"deer_01_og.jpg","wanderer"
"726","design",NA,NA,NA,"wanderer"
"727","donut",NA,NA,NA,"wanderer"
"728","dot",NA,NA,NA,"wanderer"
"729","eel",NA,NA,NA,"wanderer"
"730","fin",NA,NA,NA,"wanderer"
"731","fins",NA,NA,NA,"wanderer"
"732","hmm",NA,NA,NA,"wanderer"
"733","iceberg","moreno-martinez",81,"iceberg_.jpg","wanderer"
"734","image",NA,NA,NA,"wanderer"
"735","jellyfish","brodeur",95,"jellyfish.jpg","wanderer"
"736","jester",NA,NA,NA,"wanderer"
"737","lighthouse","DR2",100,"lighthouse_01_og.jpg","wanderer"
"738","lightning",NA,NA,NA,"wanderer"
"739","liner",NA,NA,NA,"wanderer"
"740","lobster","DR2",100,"lobster_02_og.jpg","wanderer"
"741","neck",NA,NA,NA,"wanderer"
"742","nostril",NA,NA,NA,"wanderer"
"743","oh",NA,NA,NA,"wanderer"
"744","oil",NA,NA,NA,"wanderer"
"745","opening",NA,NA,NA,"wanderer"
"746","other",NA,NA,NA,"wanderer"
"747","outfit",NA,NA,NA,"wanderer"
"748","pair",NA,NA,NA,"wanderer"
"749","pattern",NA,NA,NA,"wanderer"
"750","pearl",NA,NA,NA,"wanderer"
"751","pier",NA,NA,NA,"wanderer"
"752","pole",NA,NA,NA,"wanderer"
"753","port",NA,NA,NA,"wanderer"
"754","preserver",NA,NA,NA,"wanderer"
"755","reef",NA,NA,NA,"wanderer"
"756","rod",NA,NA,NA,"wanderer"
"757","root",NA,NA,NA,"wanderer"
"758","scissors","boss",100,"scissors01.jpg","wanderer"
"759","seagull","moreno-martinez",83,"seagull.jpg","wanderer"
"760","seal","brodeur",88,"seal.jpg","wanderer"
"761","serpent",NA,NA,NA,"wanderer"
"762","show",NA,NA,NA,"wanderer"
"763","spot",NA,NA,NA,"wanderer"
"764","spotlight",NA,NA,NA,"wanderer"
"765","stingray",NA,NA,NA,"wanderer"
"766","storm",NA,NA,NA,"wanderer"
"767","stuff",NA,NA,NA,"wanderer"
"768","surface",NA,NA,NA,"wanderer"
"769","tip",NA,NA,NA,"wanderer"
"770","tooth",NA,NA,NA,"wanderer"
"771","trash",NA,NA,NA,"wanderer"
"772","turtle","DR2",95.2380952,"turtle_01_og.jpg","wanderer"
"773","up",NA,NA,NA,"wanderer"
"774","vegetation",NA,NA,NA,"wanderer"
"775","vessel",NA,NA,NA,"wanderer"
"776","wave","moreno-martinez",89,"wave.jpg","wanderer"
"777","whale",NA,NA,NA,"wanderer"
"778","word",NA,NA,NA,"wanderer"
"779","bank",NA,NA,NA,"wild_west"
"780","blacksmith",NA,NA,NA,"wild_west"
"781","buffalo",NA,NA,NA,"wild_west"
"782","cowboy",NA,NA,NA,"wild_west"
"783","heriff",NA,NA,NA,"wild_west"
"784","jail",NA,NA,NA,"wild_west"
"785","livery",NA,NA,NA,"wild_west"
"786","mine",NA,NA,NA,"wild_west"
"787","pioneer",NA,NA,NA,"wild_west"
"788","poster",NA,NA,NA,"wild_west"
"789","saloon",NA,NA,NA,"wild_west"
"790","stable",NA,NA,NA,"wild_west"
"791","stagecoach",NA,NA,NA,"wild_west"
"792","sunset",NA,NA,NA,"wild_west"
"793","track",NA,NA,NA,"wild_west"
"794","wagon",NA,NA,NA,"wild_west"
"795","wild",NA,NA,NA,"wild_west"
