,source,agreement,stimuli,n,percent,lemma_naming,lemma_dis,dist,match
659,DR2,100,journey,24,77.41935484,couch,couch,0,1
660,DR2,100,wanderer,13,41.93548387,deer,deer,0,1
661,DR2,82.1,arrival_4,27,87.09677419,drawer,drawer,0,1
662,DR2,95.4545455,flowerman,8,25.80645161,dress,dress,0,1
663,DR2,78.5714286,journey,10,32.25806452,dresser,dresser,0,1
664,DR2,100,arrival_3,25,80.64516129,egg,egg,0,1
665,DR2,100,birthday_party_fun,17,54.83870968,fence,fence,0,1
666,DR2,100,flowerman,12,38.70967742,fence,fence,0,1
667,DR2,100,journey,11,34.375,firehydrant,firehydrant,0,1
668,DR2,100,flowerman,10,31.25,firehydrant,firehydrant,0,1
669,DR2,94.2857143,wanderer,17,53.125,fishingpole,fishingpole,0,1
670,DR2,100,arrival_3,8,25.80645161,floor,floor,0,1
671,DR2,100,arrival_6,15,48.38709677,floor,floor,0,1
672,DR2,100,deep_sea_divers,9,29.03225806,floor,floor,0,1
673,DR2,100,exhibit_12,15,48.38709677,floor,floor,0,1
674,DR2,100,flowerman,14,45.16129032,floor,floor,0,1
675,DR2,100,journey,23,74.19354839,floor,floor,0,1
676,DR2,100,return,18,58.06451613,floor,floor,0,1
677,DR2,100,flowerman,24,77.41935484,fountain,fountain,0,1
678,DR2,100,waldo_1,28,90.32258065,fountain,fountain,0,1
679,"brodeur, DR2",100,escape_from_the_zoo,26,83.87096774,giraffe,giraffe,0,1
680,DR2,85.7,escape_from_the_zoo,23,74.19354839,gorilla,gorilla,0,1
681,DR2,100,arrival_1,28,90.32258065,hat,hat,0,1
682,DR2,100,arrival_2,19,61.29032258,hat,hat,0,1
683,DR2,100,arrival_3,27,87.09677419,hat,hat,0,1
684,DR2,100,arrival_4,29,93.5483871,hat,hat,0,1
685,DR2,100,arrival_5,27,87.09677419,hat,hat,0,1
686,DR2,100,arrival_6,27,87.09677419,hat,hat,0,1
687,DR2,100,flowerman,24,77.41935484,hat,hat,0,1
688,DR2,100,journey,9,29.03225806,hat,hat,0,1
689,DR2,100,picture_this,16,51.61290323,hat,hat,0,1
690,DR2,100,unfriendly_giants,12,38.70967742,hat,hat,0,1
691,DR2,100,wanderer,23,74.19354839,hat,hat,0,1
692,DR2,100,wild_west,12,38.70967742,hat,hat,0,1
693,DR2,100,quest,15,48.38709677,helmet,helmet,0,1
694,DR2,100,wanderer,14,45.16129032,helmet,helmet,0,1
695,DR2,72.7272727,arrival_4,9,29.03225806,jacket,jacket,0,1
696,DR2,72.7272727,arrival_5,15,48.38709677,jacket,jacket,0,1
697,DR2,72.7272727,flowerman,8,25.80645161,jacket,jacket,0,1
698,DR2,98.5507246,escape_from_the_zoo,13,41.93548387,kangaroo,kangaroo,0,1
699,DR2,100,arrival_4,15,48.38709677,ladder,ladder,0,1
700,DR2,100,arrival_5,18,58.06451613,ladder,ladder,0,1
701,DR2,100,arrival_6,25,80.64516129,ladder,ladder,0,1
702,DR2,100,exhibit_12,23,74.19354839,ladder,ladder,0,1
703,DR2,100,flowerman,11,35.48387097,ladder,ladder,0,1
704,DR2,100,journey,21,67.74193548,ladder,ladder,0,1
705,DR2,100,waldo_1,17,54.83870968,ladder,ladder,0,1
706,DR2,100,wild_west,12,38.70967742,ladder,ladder,0,1
707,DR2,100,wanderer,27,87.09677419,lighthouse,lighthouse,0,1
708,DR2,71.4,arrival_4,8,25.80645161,lizard,lizard,0,1
709,DR2,100,wanderer,22,70.96774194,lobster,lobster,0,1
710,DR2,100,journey,10,32.25806452,lock,lock,0,1
711,"brodeur, DR2",100,arrival_6,17,54.83870968,mailbox,mailbox,0,1
712,"brodeur, DR2",100,journey,24,77.41935484,mailbox,mailbox,0,1
713,DR2,100,arrival_6,11,35.48387097,mirror,mirror,0,1
714,DR2,100,dinosaurs_spacemen_and_ghouls,10,32.25806452,mirror,mirror,0,1
715,DR2,100,return,9,29.03225806,mirror,mirror,0,1
716,DR2,100,waldo_1,12,38.70967742,mop,mop,0,1
717,DR2,98.4,flowerman,16,51.61290323,motorcycle,motorcycle,0,1
718,DR2,98.4,waldo_1,16,51.61290323,motorcycle,motorcycle,0,1
719,DR2,100,arrival_4,8,25.80645161,mouse,mouse,0,1
720,DR2,100,arrival_6,10,32.25806452,mouse,mouse,0,1
721,DR2,72.7,arrival_1,22,70.96774194,paper,paper,0,1
722,DR2,72.7,arrival_2,14,45.16129032,paper,paper,0,1
723,DR2,72.7,arrival_3,8,25.80645161,paper,paper,0,1
724,DR2,72.7,arrival_4,17,54.83870968,paper,paper,0,1
725,DR2,72.7,arrival_5,24,77.41935484,paper,paper,0,1
726,DR2,72.7,arrival_6,21,67.74193548,paper,paper,0,1
727,DR2,72.7,journey,8,25.80645161,paper,paper,0,1
728,DR2,72.7,quest,20,64.51612903,paper,paper,0,1
729,DR2,72.7,wanderer,27,87.09677419,paper,paper,0,1
730,DR2,78.6,escape_from_the_zoo,11,35.48387097,parrot,parrot,0,1
731,DR2,100,escape_from_the_zoo,17,54.83870968,peacock,peacock,0,1
732,DR2,100,birthday_party_fun,26,83.87096774,pool,pool,0,1
733,DR2,100,make_a_splash,16,51.61290323,pool,pool,0,1
734,DR2,100,arrival_1,23,74.19354839,pot,pot,0,1
735,DR2,100,arrival_4,10,32.25806452,pot,pot,0,1
736,DR2,100,arrival_5,15,48.38709677,pot,pot,0,1
737,DR2,100,arrival_6,21,67.74193548,pot,pot,0,1
738,DR2,100,journey,8,25.80645161,pot,pot,0,1
739,DR2,85.7142857,flowerman,10,32.25806452,road,road,0,1
740,DR2,86.3636364,airport,12,38.70967742,rocket,rocket,0,1
741,DR2,86.3636364,dinosaurs_spacemen_and_ghouls,10,32.25806452,rocket,rocket,0,1
742,DR2,86.3636364,wanderer,15,48.38709677,rocket,rocket,0,1
743,DR2,90.9,flowerman,26,83.87096774,roof,roof,0,1
744,DR2,90.9,quest,9,29.03225806,roof,roof,0,1
745,DR2,90.9,unfriendly_giants,9,29.03225806,roof,roof,0,1
746,DR2,90.9,waldo_1,27,87.09677419,roof,roof,0,1
747,DR2,90.9,wanderer,11,35.48387097,roof,roof,0,1
748,DR2,90.9,wild_west,17,54.83870968,roof,roof,0,1
749,DR2,85.7,by_the_lake,14,45.16129032,sailboat,sailboat,0,1
750,DR2,85.7,wanderer,22,70.96774194,sailboat,sailboat,0,1
751,DR2,96.4,quest,19,61.29032258,seahorse,seahorse,0,1
752,DR2,96.4,wanderer,27,87.09677419,seahorse,seahorse,0,1
753,DR2,100,being_a_pirate,8,25.80645161,shark,shark,0,1
754,DR2,100,campsite,10,32.25806452,shark,shark,0,1
755,DR2,100,deep_sea_divers,14,45.16129032,shark,shark,0,1
756,DR2,100,exhibit_12,10,32.25806452,shark,shark,0,1
757,DR2,96.7741935,arrival_4,15,48.38709677,shower,shower,0,1
758,DR2,96.7741935,wanderer,13,41.93548387,shower,shower,0,1
759,DR2,97.6190476,return,11,35.48387097,sink,sink,0,1
760,"brodeur, DR2",100,journey,9,29.03225806,skateboard,skateboard,0,1
761,DR2,95.5,make_a_splash,28,90.32258065,slide,slide,0,1
762,DR2,75,ancient_rome,9,29.03225806,soldier,soldier,0,1
763,DR2,75,journey,10,32.25806452,soldier,soldier,0,1
764,DR2,75,quest,17,54.83870968,soldier,soldier,0,1
765,DR2,75,return,13,41.93548387,soldier,soldier,0,1
766,DR2,93.3,arrival_2,22,70.96774194,statue,statue,0,1
767,DR2,93.3,arrival_4,16,51.61290323,statue,statue,0,1
768,DR2,93.3,arrival_5,11,35.48387097,statue,statue,0,1
769,DR2,93.3,flowerman,11,35.48387097,statue,statue,0,1
770,DR2,93.3,journey,9,29.03225806,statue,statue,0,1
771,DR2,93.3,quest,25,80.64516129,statue,statue,0,1
772,DR2,93.3,waldo_1,17,54.83870968,statue,statue,0,1
773,DR2,95.4545455,journey,11,35.48387097,stove,stove,0,1
774,DR2,95.4545455,return,9,29.03225806,stove,stove,0,1
775,DR2,100,return,27,87.09677419,submarine,submarine,0,1
776,DR2,100,wanderer,26,83.87096774,submarine,submarine,0,1
777,DR2,97.0588235,airport,8,25.80645161,suitcase,suitcase,0,1
778,DR2,97.0588235,arrival_1,24,77.41935484,suitcase,suitcase,0,1
779,DR2,97.0588235,arrival_2,23,74.19354839,suitcase,suitcase,0,1
780,DR2,97.0588235,arrival_3,25,80.64516129,suitcase,suitcase,0,1
781,DR2,95.1,quest,14,45.16129032,tank,tank,0,1
782,DR2,95.1,wanderer,13,41.93548387,tank,tank,0,1
783,DR2,93.3,arrival_1,22,70.96774194,teapot,teapot,0,1
784,DR2,93.3,arrival_2,11,35.48387097,teapot,teapot,0,1
785,DR2,100,arrival_4,12,38.70967742,teepee,teepee,0,1
786,DR2,100,flowerman,17,54.83870968,telescope,telescope,0,1
787,DR2,100,flowerman,12,38.70967742,tie,tie,0,1
788,DR2,95.4545455,airport,22,70.96774194,truck,truck,0,1
789,DR2,95.4545455,flowerman,23,74.19354839,truck,truck,0,1
790,DR2,95.4545455,waldo_1,23,74.19354839,truck,truck,0,1
791,DR2,95.2380952,wanderer,26,83.87096774,turtle,turtle,0,1
792,"boss, DR2",100,by_the_lake,11,35.48387097,umbrella,umbrella,0,1
793,"boss, DR2",100,flowerman,10,32.25806452,umbrella,umbrella,0,1
794,"boss, DR2",100,picture_this,9,29.03225806,umbrella,umbrella,0,1
795,"boss, DR2",100,wanderer,8,25.80645161,umbrella,umbrella,0,1
796,DR2,97.1428571,waldo_1,9,29.03225806,waiter,waiter,0,1
797,DR2,95.4545455,airport,12,38.70967742,watch,watch,0,1
798,DR2,95.4545455,arrival_3,17,54.83870968,watch,watch,0,1
799,DR2,98.1,flowerman,17,54.83870968,wheelchair,wheelchair,0,1
800,"brodeur, DR2",100,unfriendly_giants,25,80.64516129,windmill,windmill,0,1
801,DR2,70.7,arrival_5,12,38.70967742,wine,wine,0,1
802,boss,72,NA,NA,NA,almonds,NA,NA,NA
803,boss,74,NA,NA,NA,antenna,NA,NA,NA
804,boss,92,NA,NA,NA,ashtray,NA,NA,NA
805,boss,89,NA,NA,NA,avocado,NA,NA,NA
806,boss,87,NA,NA,NA,bagel,NA,NA,NA
807,boss,100,NA,NA,NA,banana,NA,NA,NA
808,boss,87,NA,NA,NA,baseball,NA,NA,NA
809,boss,95,NA,NA,NA,battery,NA,NA,NA
810,boss,84,NA,NA,NA,bib,NA,NA,NA
811,boss,97,NA,NA,NA,binoculars,NA,NA,NA
812,boss,94,NA,NA,NA,blueberry,NA,NA,NA
813,boss,86,NA,NA,NA,bottlecap,NA,NA,NA
814,boss,97,NA,NA,NA,broccoli,NA,NA,NA
815,boss,100,NA,NA,NA,button,NA,NA,NA
816,boss,76,NA,NA,NA,cabbage,NA,NA,NA
817,boss,100,NA,NA,NA,calculator,NA,NA,NA
818,boss,100,NA,NA,NA,candle,NA,NA,NA
819,boss,95,NA,NA,NA,candy,NA,NA,NA
820,boss,97,NA,NA,NA,carrot,NA,NA,NA
821,boss,95,NA,NA,NA,cauliflower,NA,NA,NA
822,boss,92,NA,NA,NA,cd,NA,NA,NA
823,boss,100,NA,NA,NA,celery,NA,NA,NA
824,boss,85,NA,NA,NA,cellphone,NA,NA,NA
825,boss,100,NA,NA,NA,chalk,NA,NA,NA
826,boss,100,NA,NA,NA,cherries,NA,NA,NA
827,boss,95,NA,NA,NA,cigarette,NA,NA,NA
828,boss,79,NA,NA,NA,clipboard,NA,NA,NA
829,boss,89,NA,NA,NA,coconut,NA,NA,NA
830,boss,79,NA,NA,NA,coffeebeans,NA,NA,NA
831,boss,87,NA,NA,NA,comb,NA,NA,NA
832,boss,100,NA,NA,NA,condom,NA,NA,NA
833,boss,71,NA,NA,NA,cookiecutter,NA,NA,NA
834,boss,72,NA,NA,NA,cracker,NA,NA,NA
835,boss,89,NA,NA,NA,croissant,NA,NA,NA
836,boss,86,NA,NA,NA,deodorant,NA,NA,NA
837,boss,97,NA,NA,NA,dice,NA,NA,NA
838,boss,78,NA,NA,NA,doll,NA,NA,NA
839,boss,72,NA,NA,NA,dropper,NA,NA,NA
840,boss,82,NA,NA,NA,dustpan,NA,NA,NA
841,boss,100,NA,NA,NA,earrings,NA,NA,NA
842,boss,92,NA,NA,NA,eraser,NA,NA,NA
843,boss,89,NA,NA,NA,fan,NA,NA,NA
844,boss,75,NA,NA,NA,flashlight,NA,NA,NA
845,boss,90,NA,NA,NA,flyswatter,NA,NA,NA
846,boss,97,NA,NA,NA,fork,NA,NA,NA
847,boss,87,NA,NA,NA,garlic,NA,NA,NA
848,boss,89,NA,NA,NA,ginger,NA,NA,NA
849,boss,78,NA,NA,NA,hanger,NA,NA,NA
850,boss,71,NA,NA,NA,headphones,NA,NA,NA
851,boss,74,NA,NA,NA,icepack,NA,NA,NA
852,boss,92,NA,NA,NA,iron,NA,NA,NA
853,boss,89,NA,NA,NA,keyboard,NA,NA,NA
854,boss,74,NA,NA,NA,laptop,NA,NA,NA
855,"boss, DR2",100,NA,NA,NA,lemon,NA,NA,NA
856,boss,95,NA,NA,NA,lighter,NA,NA,NA
857,boss,81,NA,NA,NA,lime,NA,NA,NA
858,boss,97,NA,NA,NA,lipstick,NA,NA,NA
859,boss,82,NA,NA,NA,magnifyingglass,NA,NA,NA
860,boss,95,NA,NA,NA,measuringcup,NA,NA,NA
861,boss,78,NA,NA,NA,measuringtape,NA,NA,NA
862,boss,97,NA,NA,NA,microscope,NA,NA,NA
863,boss,94,NA,NA,NA,mousetrap,NA,NA,NA
864,boss,86,NA,NA,NA,nailclipper,NA,NA,NA
865,boss,81,NA,NA,NA,nailpolish,NA,NA,NA
866,boss,93,NA,NA,NA,nutcracker,NA,NA,NA
867,boss,89,NA,NA,NA,olive,NA,NA,NA
868,"boss, DR2",100,NA,NA,NA,onion,NA,NA,NA
869,boss,92,NA,NA,NA,paintbrush,NA,NA,NA
870,boss,77,NA,NA,NA,paintroller,NA,NA,NA
871,boss,73,NA,NA,NA,partyhat,NA,NA,NA
872,boss,72,NA,NA,NA,pencilcase,NA,NA,NA
873,boss,71,NA,NA,NA,pictureframe,NA,NA,NA
874,boss,72,NA,NA,NA,pill,NA,NA,NA
875,boss,84,NA,NA,NA,pillow,NA,NA,NA
876,boss,100,NA,NA,NA,pineapple,NA,NA,NA
877,boss,86,NA,NA,NA,plum,NA,NA,NA
878,boss,84,NA,NA,NA,plunger,NA,NA,NA
879,boss,100,NA,NA,NA,potato,NA,NA,NA
880,boss,87,NA,NA,NA,printer,NA,NA,NA
881,boss,76,NA,NA,NA,puzzlepiece,NA,NA,NA
882,boss,72,NA,NA,NA,qtip,NA,NA,NA
883,boss,74,NA,NA,NA,raisins,NA,NA,NA
884,boss,86,NA,NA,NA,rasberry,NA,NA,NA
885,boss,77,NA,NA,NA,ribbon,NA,NA,NA
886,boss,92,NA,NA,NA,rice,NA,NA,NA
887,boss,100,NA,NA,NA,ruler,NA,NA,NA
888,boss,92,NA,NA,NA,sandal,NA,NA,NA
889,boss,89,NA,NA,NA,saw,NA,NA,NA
890,boss,95,NA,NA,NA,screwdriver,NA,NA,NA
891,boss,86,NA,NA,NA,shoelace,NA,NA,NA
892,boss,74,NA,NA,NA,shorts,NA,NA,NA
893,boss,79,NA,NA,NA,soap,NA,NA,NA
894,boss,87,NA,NA,NA,sock,NA,NA,NA
895,boss,87,NA,NA,NA,speaker,NA,NA,NA
896,boss,90,NA,NA,NA,sponge,NA,NA,NA
897,boss,95,NA,NA,NA,stapler,NA,NA,NA
898,boss,81,NA,NA,NA,stapleremover,NA,NA,NA
899,boss,97,NA,NA,NA,staples,NA,NA,NA
900,boss,74,NA,NA,NA,starfish,NA,NA,NA
901,boss,90,NA,NA,NA,sunglasses,NA,NA,NA
902,boss,94,NA,NA,NA,tampon,NA,NA,NA
903,boss,95,NA,NA,NA,teabag,NA,NA,NA
904,boss,72,NA,NA,NA,teddybear,NA,NA,NA
905,boss,95,NA,NA,NA,tennisball,NA,NA,NA
906,boss,97,NA,NA,NA,thermometer,NA,NA,NA
907,boss,91,NA,NA,NA,tile,NA,NA,NA
908,boss,74,NA,NA,NA,toast,NA,NA,NA
909,boss,97,NA,NA,NA,toaster,NA,NA,NA
910,boss,92,NA,NA,NA,toiletpaper,NA,NA,NA
911,"boss, DR2",100,NA,NA,NA,tomato,NA,NA,NA
912,boss,79,NA,NA,NA,tongs,NA,NA,NA
913,"boss, DR2",100,NA,NA,NA,toothbrush,NA,NA,NA
914,boss,81,NA,NA,NA,toothpick,NA,NA,NA
915,boss,72,NA,NA,NA,waterbottle,NA,NA,NA
916,boss,71,NA,NA,NA,whisk,NA,NA,NA
917,boss,79,NA,NA,NA,zucchini,NA,NA,NA
918,brodeur,79,NA,NA,NA,acorn,NA,NA,NA
919,brodeur,79,NA,NA,NA,airhockeytable,NA,NA,NA
920,brodeur,73,NA,NA,NA,antlers,NA,NA,NA
921,brodeur,88,NA,NA,NA,armadillo,NA,NA,NA
922,brodeur,77,NA,NA,NA,bacon,NA,NA,NA
923,brodeur,76,NA,NA,NA,badmintonracket,NA,NA,NA
924,brodeur,71,NA,NA,NA,barn,NA,NA,NA
925,brodeur,81,NA,NA,NA,baseballbat,NA,NA,NA
926,brodeur,95,NA,NA,NA,basketball,NA,NA,NA
927,brodeur,100,NA,NA,NA,beaver,NA,NA,NA
928,brodeur,88,NA,NA,NA,beerbottle,NA,NA,NA
929,brodeur,82,NA,NA,NA,birdfeeder,NA,NA,NA
930,brodeur,93,NA,NA,NA,birdhouse,NA,NA,NA
931,brodeur,93,NA,NA,NA,blender,NA,NA,NA
932,brodeur,78,NA,NA,NA,bluejay,NA,NA,NA
933,brodeur,71,NA,NA,NA,shipinabottle,NA,NA,NA
934,brodeur,100,NA,NA,NA,bowlingball,NA,NA,NA
935,brodeur,100,NA,NA,NA,bowlingpin,NA,NA,NA
936,brodeur,88,NA,NA,NA,bowtie,NA,NA,NA
937,brodeur,76,NA,NA,NA,boxingglove,NA,NA,NA
938,brodeur,86,NA,NA,NA,brownsugar,NA,NA,NA
939,brodeur,93,NA,NA,NA,bullet,NA,NA,NA
940,brodeur,90,NA,NA,NA,bumpercar,NA,NA,NA
941,brodeur,81,NA,NA,NA,keys,NA,NA,NA
942,brodeur,86,NA,NA,NA,calendar,NA,NA,NA
943,brodeur,80,NA,NA,NA,bell,NA,NA,NA
944,brodeur,98,NA,NA,NA,candycane,NA,NA,NA
945,brodeur,93,NA,NA,NA,cashregister,NA,NA,NA
946,brodeur,71,NA,NA,NA,ceilingfan,NA,NA,NA
947,brodeur,77,NA,NA,NA,chainsaw,NA,NA,NA
948,brodeur,77,NA,NA,NA,cheetah,NA,NA,NA
949,brodeur,89,NA,NA,NA,chefshat,NA,NA,NA
950,brodeur,76,NA,NA,NA,christmaslights,NA,NA,NA
951,brodeur,86,NA,NA,NA,christmastree,NA,NA,NA
952,brodeur,90,NA,NA,NA,cigar,NA,NA,NA
953,brodeur,71,NA,NA,NA,coffeemachine,NA,NA,NA
954,brodeur,75,NA,NA,NA,cork,NA,NA,NA
955,brodeur,93,NA,NA,NA,cow,NA,NA,NA
956,brodeur,72,NA,NA,NA,cr̬mebrulee,NA,NA,NA
957,brodeur,88,NA,NA,NA,cross,NA,NA,NA
958,brodeur,83,NA,NA,NA,cruiseship,NA,NA,NA
959,brodeur,88,NA,NA,NA,spider,NA,NA,NA
960,brodeur,71,NA,NA,NA,dalmatian,NA,NA,NA
961,brodeur,100,NA,NA,NA,dartboard,NA,NA,NA
962,brodeur,93,NA,NA,NA,discoball,NA,NA,NA
963,brodeur,95,NA,NA,NA,doughnut,NA,NA,NA
964,brodeur,83,NA,NA,NA,skis,NA,NA,NA
965,brodeur,93,NA,NA,NA,dreamcatcher,NA,NA,NA
966,brodeur,95,NA,NA,NA,drumsticks,NA,NA,NA
967,brodeur,73,NA,NA,NA,ducttape,NA,NA,NA
968,brodeur,95,NA,NA,NA,eiffeltower,NA,NA,NA
969,brodeur,86,NA,NA,NA,elbow,NA,NA,NA
970,brodeur,90,NA,NA,NA,escalator,NA,NA,NA
971,brodeur,95,NA,NA,NA,exitsign,NA,NA,NA
972,brodeur,92,NA,NA,NA,eyepatch,NA,NA,NA
973,brodeur,93,NA,NA,NA,fingerprint,NA,NA,NA
974,brodeur,86,NA,NA,NA,fireplace,NA,NA,NA
975,brodeur,98,NA,NA,NA,football,NA,NA,NA
976,brodeur,79,NA,NA,NA,footballhelmet,NA,NA,NA
977,brodeur,98,NA,NA,NA,fortunecookie,NA,NA,NA
978,brodeur,95,NA,NA,NA,frisbee,NA,NA,NA
979,brodeur,80,NA,NA,NA,musicsheet,NA,NA,NA
980,brodeur,72,NA,NA,NA,gazebo,NA,NA,NA
981,brodeur,98,NA,NA,NA,golfball,NA,NA,NA
982,brodeur,88,NA,NA,NA,granolabar,NA,NA,NA
983,brodeur,98,NA,NA,NA,guitarcase,NA,NA,NA
984,brodeur,100,NA,NA,NA,handcuffs,NA,NA,NA
985,brodeur,81,NA,NA,NA,cymbals,NA,NA,NA
986,brodeur,100,NA,NA,NA,harmonica,NA,NA,NA
987,brodeur,83,NA,NA,NA,hockeypuck,NA,NA,NA
988,brodeur,93,NA,NA,NA,hockeystick,NA,NA,NA
989,brodeur,93,NA,NA,NA,hulahoop,NA,NA,NA
990,brodeur,100,NA,NA,NA,horseshoe,NA,NA,NA
991,brodeur,74,NA,NA,NA,icecube,NA,NA,NA
992,brodeur,79,NA,NA,NA,ipad,NA,NA,NA
993,brodeur,88,NA,NA,NA,jeans,NA,NA,NA
994,brodeur,88,NA,NA,NA,jeep,NA,NA,NA
995,brodeur,98,NA,NA,NA,jellybeans,NA,NA,NA
996,brodeur,98,NA,NA,NA,doghouse,NA,NA,NA
997,brodeur,83,NA,NA,NA,kiwi,NA,NA,NA
998,brodeur,88,NA,NA,NA,knee,NA,NA,NA
999,brodeur,79,NA,NA,NA,kneepad,NA,NA,NA
1000,brodeur,78,NA,NA,NA,brassknuckles,NA,NA,NA
1001,brodeur,93,NA,NA,NA,ladybug,NA,NA,NA
1002,brodeur,82,NA,NA,NA,leafblower,NA,NA,NA
1003,brodeur,90,NA,NA,NA,rake,NA,NA,NA
1004,brodeur,85,NA,NA,NA,licenseplate,NA,NA,NA
1005,brodeur,98,NA,NA,NA,lightswitch,NA,NA,NA
1006,brodeur,98,NA,NA,NA,locker,NA,NA,NA
1007,brodeur,83,NA,NA,NA,lollipop,NA,NA,NA
1008,brodeur,95,NA,NA,NA,compass,NA,NA,NA
1009,brodeur,81,NA,NA,NA,sushi,NA,NA,NA
1010,brodeur,85,NA,NA,NA,marble,NA,NA,NA
1011,brodeur,76,NA,NA,NA,mask,NA,NA,NA
1012,brodeur,98,NA,NA,NA,mattress,NA,NA,NA
1013,brodeur,88,NA,NA,NA,microphone,NA,NA,NA
1014,brodeur,81,NA,NA,NA,microwave,NA,NA,NA
1015,brodeur,86,NA,NA,NA,lips,NA,NA,NA
1016,brodeur,76,NA,NA,NA,mrpotatohead,NA,NA,NA
1017,brodeur,71,NA,NA,NA,birdsnest,NA,NA,NA
1018,brodeur,95,NA,NA,NA,noparkingsign,NA,NA,NA
1019,brodeur,90,NA,NA,NA,nosmokingsign,NA,NA,NA
1020,brodeur,96,NA,NA,NA,nunchuks,NA,NA,NA
1021,brodeur,83,NA,NA,NA,parkingmeter,NA,NA,NA
1022,brodeur,79,NA,NA,NA,pingpongtable,NA,NA,NA
1023,brodeur,81,NA,NA,NA,platypus,NA,NA,NA
1024,brodeur,83,NA,NA,NA,pokerchips,NA,NA,NA
1025,brodeur,98,NA,NA,NA,pooltable,NA,NA,NA
1026,brodeur,98,NA,NA,NA,pumpkin,NA,NA,NA
1027,brodeur,83,NA,NA,NA,punchingbag,NA,NA,NA
1028,brodeur,79,NA,NA,NA,recyclingbin,NA,NA,NA
1029,brodeur,88,NA,NA,NA,fox,NA,NA,NA
1030,brodeur,71,NA,NA,NA,fridge,NA,NA,NA
1031,brodeur,83,NA,NA,NA,rollerblade,NA,NA,NA
1032,brodeur,95,NA,NA,NA,rubikcube,NA,NA,NA
1033,brodeur,86,NA,NA,NA,saltshaker,NA,NA,NA
1034,brodeur,71,NA,NA,NA,sausage,NA,NA,NA
1035,brodeur,98,NA,NA,NA,schoolbus,NA,NA,NA
1036,brodeur,90,NA,NA,NA,scorpion,NA,NA,NA
1037,brodeur,93,NA,NA,NA,sheep,NA,NA,NA
1038,brodeur,88,NA,NA,NA,showerhead,NA,NA,NA
1039,brodeur,95,NA,NA,NA,snowboard,NA,NA,NA
1040,brodeur,100,NA,NA,NA,snowman,NA,NA,NA
1041,brodeur,88,NA,NA,NA,snowshoe,NA,NA,NA
1042,brodeur,98,NA,NA,NA,soccerball,NA,NA,NA
1043,brodeur,85,NA,NA,NA,spicerack,NA,NA,NA
1044,brodeur,93,NA,NA,NA,spiderweb,NA,NA,NA
1045,brodeur,100,NA,NA,NA,squirrel,NA,NA,NA
1046,brodeur,100,NA,NA,NA,surfboard,NA,NA,NA
1047,brodeur,90,NA,NA,NA,toilet,NA,NA,NA
1048,brodeur,93,NA,NA,NA,toolbox,NA,NA,NA
1049,brodeur,74,NA,NA,NA,totempole,NA,NA,NA
1050,brodeur,76,NA,NA,NA,toucan,NA,NA,NA
1051,brodeur,80,NA,NA,NA,toyhorse,NA,NA,NA
1052,brodeur,72,NA,NA,NA,toysoldier,NA,NA,NA
1053,brodeur,93,NA,NA,NA,trampoline,NA,NA,NA
1054,brodeur,90,NA,NA,NA,treadmill,NA,NA,NA
1055,brodeur,93,NA,NA,NA,tricycle,NA,NA,NA
1056,brodeur,76,NA,NA,NA,tulip,NA,NA,NA
1057,brodeur,81,NA,NA,NA,turnstile,NA,NA,NA
1058,brodeur,89,NA,NA,NA,urinal,NA,NA,NA
1059,brodeur,73,NA,NA,NA,walkietalkie,NA,NA,NA
1060,brodeur,78,NA,NA,NA,waterfountain,NA,NA,NA
1061,brodeur,75,NA,NA,NA,well,NA,NA,NA
1062,brodeur,72,NA,NA,NA,wheat,NA,NA,NA
1063,brodeur,91,NA,NA,NA,wheelbarrow,NA,NA,NA
1064,brodeur,82,NA,NA,NA,windshieldwiper,NA,NA,NA
1065,brodeur,86,NA,NA,NA,witchhat,NA,NA,NA
1066,brodeur,89,NA,NA,NA,xylophone,NA,NA,NA
1067,brodeur,100,NA,NA,NA,zipper,NA,NA,NA
1068,moreno-martinez,92,NA,NA,NA,anchovy,NA,NA,NA
1069,moreno-martinez,96,NA,NA,NA,ant,NA,NA,NA
1070,moreno-martinez,99,NA,NA,NA,apple,NA,NA,NA
1071,moreno-martinez,71,NA,NA,NA,armchair,NA,NA,NA
1072,moreno-martinez,88,NA,NA,NA,armour,NA,NA,NA
1073,moreno-martinez,96,NA,NA,NA,axe,NA,NA,NA
1074,moreno-martinez,91,NA,NA,NA,bathrobe,NA,NA,NA
1075,moreno-martinez,76,NA,NA,NA,bedsidetable,NA,NA,NA
1076,moreno-martinez,82,NA,NA,NA,beetle,NA,NA,NA
1077,moreno-martinez,77,NA,NA,NA,boomerang,NA,NA,NA
1078,moreno-martinez,92,NA,NA,NA,bracelet,NA,NA,NA
1079,moreno-martinez,96,NA,NA,NA,cap,NA,NA,NA
1080,moreno-martinez,85,NA,NA,NA,carnation,NA,NA,NA
1081,moreno-martinez,81,NA,NA,NA,cathedral,NA,NA,NA
1082,moreno-martinez,83,NA,NA,NA,centipede,NA,NA,NA
1083,moreno-martinez,72,NA,NA,NA,chestnut,NA,NA,NA
1084,moreno-martinez,94,NA,NA,NA,chorizo,NA,NA,NA
1085,moreno-martinez,85,NA,NA,NA,church,NA,NA,NA
1086,moreno-martinez,75,NA,NA,NA,clog,NA,NA,NA
1087,moreno-martinez,97,NA,NA,NA,compasses,NA,NA,NA
