"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","LgSUBTLCD2","Age_Of_Acquisition2"
"cactus","1.9350000000000001",6.72,6,"NA",NA,"1.9350000000000001","6.72"
"calculator","1.724",8.22,10,"NA",NA,"1.724","8.22"
"calendar","2.3620000000000001",5.89,7,"NA",NA,"2.3620000000000001","5.89"
"camel","2.1429999999999998",5.11,4,"NA",NA,"2.1429999999999998","5.11"
"camera","3.1419999999999999",6,5,"NA",NA,"3.1419999999999999","6"
"candle","2.4649999999999999",5.37,5,"NA",NA,"2.4649999999999999","5.37"
"candy","2.956",4,5,"NA",NA,"2.956","4"
"cane","2.2120000000000002",5.74,3,"NA",NA,"2.2120000000000002","5.74"
"cannon","2.4079999999999999",7.9,5,"NA",NA,"2.4079999999999999","7.9"
"canoe","1.887",6.63,4,"NA",NA,"1.887","6.63"
"cap","2.7919999999999998",5.53,3,"NA",NA,"2.7919999999999998","5.53"
"car","3.7120000000000002",3.37,3,"NA",NA,"3.7120000000000002","3.37"
"carnation","1.4910000000000001",10.21,7,"NA",NA,"1.4910000000000001","10.21"
"carousel","1.708",6.68,7,"NA",NA,"1.708","6.68"
"carrot","2.093",2.74,5,"NA",NA,"2.093","2.74"
"cart","2.5129999999999999",6.16,4,"NA",NA,"2.5129999999999999","6.16"
"castle","2.5830000000000002",5.8,4,"NA",NA,"2.5830000000000002","5.8"
"cat","3.1419999999999999",3.68,3,"NA",NA,"3.1419999999999999","3.68"
"cathedral","2",10.58,8,"NA",NA,"2","10.58"
"cauliflower","1.38",6.18,8,"NA",NA,"1.38","6.18"
"celery","1.806",5.78,6,"NA",NA,"1.806","5.78"
"centipede","1.1759999999999999",7.39,8,"NA",NA,"1.1759999999999999","7.39"
"chain","2.8690000000000002",5.22,3,"NA",NA,"2.8690000000000002","5.22"
"chair","3.1920000000000002",3.43,3,"NA",NA,"3.1920000000000002","3.43"
"chalk","2.1579999999999999",4.47,3,"NA",NA,"2.1579999999999999","4.47"
"chard","0.77800000000000002",14,4,"NA",NA,"0.77800000000000002","14"
"cheese","3.0539999999999998",4.33,3,"NA",NA,"3.0539999999999998","4.33"
"cheetah","1.544",8.16,4,"NA",NA,"1.544","8.16"
"cherries","1.903",5.58,5,"NA",NA,"1.903","5.58"
"cherry","2.5779999999999998",5.58,4,"NA",NA,"2.5779999999999998","5.58"
"chestnut","1.708",6.55,6,"NA",NA,"1.708","6.55"
"chicken","3.1960000000000002",3.26,5,"NA",NA,"3.1960000000000002","3.26"
"chimney","2.1459999999999999",6.58,5,"NA",NA,"2.1459999999999999","6.58"
"chopsticks","1.8260000000000001",NA,8,"NA",NA,"1.8260000000000001","7.8544530000000004"
"church","3.1269999999999998",5.15,3,"NA",NA,"3.1269999999999998","5.15"
"cigar","2.589",7.67,5,"NA",NA,"2.589","7.67"
"cigarette","2.9350000000000001",6.39,7,"NA",NA,"2.9350000000000001","6.39"
"city","3.5209999999999999",6.56,4,"NA",NA,"3.5209999999999999","6.56"
"clipboard","1.431",7.76,8,"NA",NA,"1.431","7.76"
"clock","3.2149999999999999",4.42,4,"NA",NA,"3.2149999999999999","4.42"
"clog","1.462",9.39,4,"NA",NA,"1.462","9.39"
"clothespin","0.95399999999999996",7.83,7,"NA",NA,"0.95399999999999996","7.83"
"cloud","2.59",3.63,4,"NA",NA,"2.59","3.63"
"coat","3.105",3.58,3,"NA",NA,"3.105","3.58"
"coconut","2.149",6.5,7,"NA",NA,"2.149","6.5"
"comb","2.3460000000000001",5.5,3,"NA",NA,"2.3460000000000001","5.5"
"compass","2.097",8.44,6,"NA",NA,"2.097","8.44"
"compasses","0.77800000000000002",NA,8,"NA",NA,"0.77800000000000002",NA
"condom","2.2480000000000002",12,6,"NA",NA,"2.2480000000000002","12"
"cookie","2.6520000000000001",3.37,4,"NA",NA,"2.6520000000000001","3.37"
"cork","2.0680000000000001",9.05,4,"NA",NA,"2.0680000000000001","9.05"
"corkscrew","1.653",7.78,8,"NA",NA,"1.653","7.78"
"couch","2.899",3.74,3,"NA",NA,"2.899","3.74"
"cow","2.863",3.94,2,"NA",NA,"2.863","3.94"
"crab","2.2759999999999998",5.28,4,"NA",NA,"2.2759999999999998","5.28"
"cracker","2.3079999999999998",4.9,5,"NA",NA,"2.3079999999999998","4.9"
"crackers","2.2360000000000002",4.9,6,"NA",NA,"2.2360000000000002","4.9"
"crayon","1.3220000000000001",3.2,5,"NA",NA,"1.3220000000000001","3.2"
"crib","2.3279999999999998",6.05,4,"NA",NA,"2.3279999999999998","6.05"
"crocodile","1.851",5.11,8,"NA",NA,"1.851","5.11"
"croissant","1.591",10.15,7,"NA",NA,"1.591","10.15"
"cross","3.2309999999999999",4.74,4,"NA",NA,"3.2309999999999999","4.74"
"crown","2.5609999999999999",7.8,4,"NA",NA,"2.5609999999999999","7.8"
"cucumber","1.863",5.72,8,"NA",NA,"1.863","5.72"
"cufflinks","1.1140000000000001",9.84,8,"NA",NA,"1.1140000000000001","9.84"
"cup","3.1949999999999998",3.57,3,"NA",NA,"3.1949999999999998","3.57"
